Step,harvest_original_cbam_svo - SW_ep_rew_total,harvest_original_cbam_svo - SW_ep_rew_total__MIN,harvest_original_cbam_svo - SW_ep_rew_total__MAX
64000,-10058.0395877395585558,-9921.0501037307276420,-10035.3165504500339011
128000,-7869.5118705528375358,-7789.9883217203077947,-7884.1056877101882492
192000,-6634.5105894511261795,-6640.1237589989905246,-6638.4934768908569822
256000,-6578.1643348303105086,-6779.2212344057106748,-6786.6701399895246141
320000,-6698.8761427262224970,-6795.8761392087890272,-6768.8656638427655707
384000,-6343.4017265802795009,-6358.6710052133194040,-6448.0078346659438466
448000,-6310.7387286295725062,-6191.8615546116780024,-6206.9645254619135812
512000,-6205.4777318876940626,-6229.3490717835247779,-6240.6026716869400843
576000,-6036.8726281696426668,-5938.9771807485076351,-5892.4144791689805061
640000,-5483.3822639181880731,-5606.2438348211080665,-5478.9021526627302592
704000,-5199.5357133410852839,-5295.7991497969633201,-5145.1708508260917370
768000,-4958.7502456642614561,-4947.8054402457064498,-5108.1506146778183393
832000,-4881.2248980407575800,-5019.5838255890221262,-4879.0928950585230268
896000,-4817.9864600555938523,-4740.7381143093743958,-4830.0411588767783542
960000,-4825.7894116494871923,-4922.6423675725591238,-4824.3330396823512274
1024000,-4524.3332204821826963,-4649.5416555668507499,-4521.0598600686707869
1088000,-4310.1548824856199644,-4263.2658891274631969,-4195.6595016892542844
1152000,-4105.1301644838977154,-4011.9714130222419044,-4122.0346359910990941
1216000,-3879.3162854516435800,-4014.3305711077300657,-3885.0202337290361356
1280000,-4036.9070433228471302,-4035.9155186486218554,-4023.5417706823136541
1344000,-4108.5689997765866792,-4100.8976246696147427,-4104.8778847715766460
1408000,-4492.9805190693577970,-4490.5307040726875130,-4471.1782781289266495
1472000,-4071.5729054128532880,-4071.1155574287354284,-4065.7194242216432940
1536000,-4184.9607259436425011,-4089.2632160651178310,-4086.7533848579041660
1600000,-4046.5379279575995497,-4047.5328371032233008,-3997.2261729055226169
1664000,-3543.1026084917548360,-3555.2720332634530678,-3736.8376531643366434
1728000,-3209.4532645935150867,-3356.2088402795070579,-3355.3459538846036594
1792000,-3189.7255793248441478,-3296.3052817424891145,-3325.9869414606487226
1856000,-3222.7270756490688655,-3137.9708451065512236,-3154.7182353301268449
1920000,-2787.9242704955945555,-2895.2368244615167896,-2809.9124323230275877
1984000,-2485.3820184382198022,-2518.1333144793657084,-2519.0834633136346383
2048000,-2397.4006900081299136,-2404.9257885417623584,-2407.5128639947106421
2112000,-2364.6628733461288903,-2351.5404978175029100,-2371.8569294937333325
2176000,-2281.3008543869491405,-2230.5084442372799458,-2329.2388282808865370
2240000,-2197.8129475254363570,-2286.2986517829585864,-2288.8496557646708425
2304000,-2474.4825442087126248,-2288.0412300971524928,-2426.0916468030904980
2368000,-2198.4530361464189809,-2186.8268982756962941,-2111.0065695533871803
2432000,-2008.2531433794872555,-2008.1862299067856839,-1935.5708660100981433
2496000,-1930.6958013358728294,-1942.1967477741445691,-1889.1317631072333825
2560000,-1565.9030041278724639,-1576.4310874514194438,-1573.0874932051378892
2624000,-1324.0123545623696373,-1417.4579743514227630,-1342.3459658055380714
2688000,-1253.3984843819196158,-1140.8984030161875580,-1134.4982384352133522
2752000,-1084.3498992812576489,-962.2002533729141760,-962.2051424269925519
2816000,-975.6716466563926815,-980.3029350387274690,-792.7958331861191255
2880000,-821.3343796721848094,-860.8622514437880682,-824.8537089399480919
2944000,-737.4137286393591921,-709.4011076927982913,-735.2607442419860035
3008000,-734.5613124379754026,-677.2326323716482648,-578.4058979427454688
3072000,-545.7365525993920983,-549.9133130857541119,-542.6177949963916944
3136000,-399.9113325272977590,-403.6564644539404298,-509.4664034918424704
3200000,-434.6477336092509063,-438.6815843599931668,-450.8547671742028911
3264000,-423.4518255553621202,-381.7053779109884886,-322.9844149898589194
3328000,-377.4688917058601305,-411.0660961248569834,-238.3105996443457570
3392000,-350.3980744179276030,-348.5243729068981224,-361.2888629606936775
3456000,-341.4001669589588346,-374.1762093633448671,-231.6531989002400564
3520000,-348.4412240284930249,-247.0905958940278424,-249.4557620476960551
3584000,-417.7965328857542318,-402.3323288950722940,-235.9073335740050368
3648000,-375.6527727685003697,-375.9841100015030406,-393.9954847466854062
3712000,-293.1408255473763802,-151.9522762106637686,-155.9056347478538100
3776000,-260.6331380117241565,-313.9646451916775050,-300.5671622008886175
3840000,-390.0206580225632251,-373.1709491790334710,-211.5755092335032543
3904000,-353.7465403773090884,-354.5802165864745348,-361.7981339283165880
3968000,-300.3907346941653600,-374.2000335836740987,-415.1053080350581581
4032000,-272.2315926288305263,-287.7088280803061480,-291.3228921358221442
4096000,-193.1548332155501271,-329.3359016779065769,-170.6796299239200323
4160000,-329.2008181254367969,-444.8809630200349829,-459.0194442418251128
4224000,-383.9567793835802831,-383.9167130668501500,-339.8375224954401688
4288000,-262.5936275293494191,-261.0420125715546646,-268.6711055619778676
4352000,-419.5589762024853258,-417.9503639136368633,-384.3117655080946520
4416000,-367.2606186310628118,-214.6147849048480225,-354.4346667315842865
4480000,-274.4018446232990982,-149.7393181752029818,-259.8315956211469597
4544000,-179.3738344096017272,-174.8895494031824001,-169.6588724061538187
4608000,-416.2192294210992713,-418.1903070859480636,-408.0696717688673516
4672000,-296.0438929544743019,-307.9177398061827944,-299.2326996901549592
4736000,-433.2390156916333694,-427.7909590638599298,-399.1756356018946690
4800000,-327.7109011203293676,-208.9408909281164028,-206.2152529462700556
4864000,-338.9456162961823793,-215.9775015749144131,-350.1585068839946189
4928000,-291.9953398838772500,-288.9870640925157090,-311.3499492033363936
4992000,-226.2744912436730829,-288.0095984899964492,-224.0149299181825597
5056000,-226.0432330176627147,-298.9197113261532195,-301.4611886843342745
5120000,-244.8530785607544544,-366.8805478933713857,-221.0836061415351992
5184000,-348.0038118353911614,-343.2502191844765775,-209.9988392863228341
5248000,-280.1350903409660305,-370.6750631392023934,-295.3524615043124300
5312000,-163.4036720178780513,-187.7408098893120325,-156.3856526624356320
5376000,-272.1125316881617664,-307.1991494393268454,-308.7476853807042971
5440000,-243.5920168864327877,-246.0075830501692735,-246.2215764040205954
5504000,-364.9267236221756434,-362.1793684968138223,-229.4363874233133060
5568000,-194.7049803417997111,-170.6689603661501735,-208.6249420660252554
5632000,-369.0623169999536799,-364.9738234912398980,-370.2614538836522229
5696000,-320.6379553553762776,-363.2843726741363639,-353.2954916918714616
5760000,-281.5294419984339811,-426.6784423735193741,-280.8986613293248524
5824000,-396.6553761274373642,-395.5155865287887309,-398.1288663118909881
5888000,-260.3351875318268753,-268.8114127887623113,-365.0516159562995426
5952000,-212.0617225791040426,-231.4990975275815686,-319.9103363005402230
6016000,-285.3072290338826633,-289.3282215856987705,-294.7230034936264929
6080000,-290.0294595153824275,-259.7649756041366800,-290.9215792474219597
6144000,-211.9996395075894213,-205.6208453422367484,-234.9146332979408669
6208000,-299.6492958005393348,-297.5313560531394046,-297.0919295307454604
6272000,-269.5819003029279770,-235.1370202697120249,-238.6545363268013773
6336000,-231.9083823986073583,-266.4556257256614344,-334.1716140068575669
6400000,-262.8974467632874621,-207.8256140544995674,-207.0936811936188064
6464000,-99.0965620584064766,-225.4893292881199898,-154.5952672975471387
6528000,-20.8540112338079027,-126.2068753662709923,-145.4871191569648659
6592000,-197.4712226646533111,-69.0031435712602956,-81.9191104496774614
6656000,-193.9153748194078730,-191.1728045730083636,-197.8781775337728845
6720000,-60.4482078357951451,-45.7648858465068997,-63.7555159141492211
6784000,-119.6964155994926529,-148.1193767989004755,24.6621656235021334
6848000,-96.7118001508073633,-26.5260559178888755,-20.6778784014412409
6912000,-208.0195981193090802,-180.5797571494185831,-3.9923734772221735
6976000,-97.9014563021501232,-102.0645439709535935,-74.3927578017818405
7040000,-39.5589068925688849,-34.4871801395243693,-110.3065980663780294
7104000,-158.6022905635091433,-135.8373874498322493,-90.6326155260366022
7168000,-129.6189750690481333,-201.8401113541004293,-3.1049830586087239
7232000,-71.9830671420157842,-143.7419209629486545,-71.4539553815511965
7296000,-119.4424556598260097,-6.1205868204495033,21.6377425433344115
7360000,-19.1106224716611308,-150.8237435939317095,-54.9112483726732137
7424000,-27.1650322756983229,-139.7580465315654408,-130.2351184383835800
7488000,-131.2490035216872570,-131.1083862247161562,-131.4922230950601261
