Step,harvest_original_cbam_svo - SW_ep_rew_total,harvest_original_cbam_svo - SW_ep_rew_total__MIN,harvest_original_cbam_svo - SW_ep_rew_total__MAX
64000,-10081.2130153733141924,-10086.4856823669506412,-9972.8278704199801723
128000,-7762.7365711753318465,-7881.8304990480182823,-7766.2503125799994450
192000,-6535.1914004403870422,-6482.6287888630868110,-6546.1038829128938232
256000,-6570.7318965361182563,-6633.7664248839710126,-6732.6425619943083802
320000,-6788.1424100173353509,-6663.7299491601597765,-6679.0935815531584012
384000,-6330.7125935701196795,-6374.7753753962851988,-6288.8581105257662784
448000,-6181.8499071853257192,-6327.6051123634315445,-6345.7277671150313836
512000,-6197.2391178267498617,-6194.2110541752645076,-6335.4782041304060840
576000,-6033.2988918461023786,-6082.4889215172979675,-5921.2374175991080847
640000,-5560.8285951215802925,-5466.9795657469430807,-5559.9968041371048457
704000,-5180.3169869339153593,-5181.8803919306028547,-5279.6946023617965693
768000,-4965.6886301535050734,-5090.7622125181824231,-5092.2275244880966056
832000,-4939.9687967554573333,-4966.0734616973904849,-4937.0866422324388623
896000,-4714.8970872798226992,-4714.9441519920719657,-4707.7862820977206866
960000,-4814.6187376275374845,-4817.7341807736893315,-4939.8322994250875126
1024000,-4656.8709326900961969,-4518.8657943939915640,-4655.7770863448704404
1088000,-4237.4129672961653341,-4363.9200140252569327,-4188.7030543340770237
1152000,-4092.3341661485219447,-4077.8100625841611873,-4046.9460020130982230
1216000,-3889.9372298143607622,-4013.6961272442172231,-4009.9513891762649109
1280000,-4025.7006159292095617,-4019.5247400202474637,-3906.4764978639241235
1344000,-3982.0960188050212309,-3944.5917953636007951,-3921.1532091747681079
1408000,-4545.1307548785625841,-4410.2833746802025416,-4396.2102395504562082
1472000,-4152.1574709042361064,-4156.9037984056467394,-4166.6810284720449999
1536000,-4093.3474567805960760,-4219.1693866283339958,-4238.9416480667559881
1600000,-3986.3281866116531091,-4073.1193289836219265,-3949.9813113597597294
1664000,-3583.9175326901736298,-3754.5451746353014641,-3610.1673729757026194
1728000,-3317.6388119802886649,-3299.6768836590272258,-3335.5975754567612057
1792000,-3315.6037870107720664,-3302.1399625306230519,-3216.2587861447800606
1856000,-3156.4022980828826803,-3147.2298400857202978,-3154.3152091298397863
1920000,-2885.7392940782710866,-2789.9070440437481011,-2787.2186808685141841
1984000,-2532.4049463126348201,-2570.7070659688092746,-2559.5798654104546586
2048000,-2443.3978186142990126,-2430.7571918594649105,-2425.2921196771958421
2112000,-2301.1811825897975723,-2405.9522871570820826,-2305.0711112802628122
2176000,-2323.3900667069760857,-2216.3334627813842417,-2322.1530425418281993
2240000,-2285.7337581522851906,-2291.0747411455713518,-2205.1312209434072429
2304000,-2357.1890035323003758,-2368.0070963708681120,-2369.1932065351052188
2368000,-2227.3787780514876431,-2061.0803245026390869,-2081.1124616344004608
2432000,-2081.7732219466411152,-1935.8514614782700392,-2015.0786342723959024
2496000,-1826.8889908629225829,-1827.5002634052671056,-1894.2993060124251770
2560000,-1439.1164069928020126,-1558.6388603268571842,-1434.8624508835250708
2624000,-1320.9992357152536897,-1324.6877155652873626,-1319.9909763494488288
2688000,-1234.2284732324208107,-1151.6597046693163975,-1143.1139954547531943
2752000,-1046.6744703105475764,-989.3915185458554333,-1002.6811891287499066
2816000,-810.4877910407726631,-967.0457745135392997,-960.9544763717249225
2880000,-911.5126209948566611,-774.4021630484525076,-800.2593876604207708
2944000,-765.9686593741149636,-834.7647552641830089,-743.9221290504310673
3008000,-667.1593578618829952,-665.8665757866210697,-594.8085284856219914
3072000,-567.2143465474994173,-567.6469313108852930,-420.5821809453939295
