Step,harvest_original_cbam_svo - SW_ep_rew_total,harvest_original_cbam_svo - SW_ep_rew_total__MIN,harvest_original_cbam_svo - SW_ep_rew_total__MAX
64000,-10013.3277579010882619,-10000.2535635388958326,-10028.8770302481334511
128000,-7850.3175948201696883,-7799.2087430505971497,-7861.8226394079601960
192000,-6549.2591582369095704,-6547.0035776045751845,-6548.2916819579058938
256000,-6684.0681285383398063,-6680.0623267251685320,-6661.6262897865899504
320000,-6760.0218084592424930,-6760.1247903983103242,-6757.3300228686121045
384000,-6382.4816330368839772,-6385.7947441184560375,-6385.8029711949902776
448000,-6270.4654269944130647,-6271.9622043715871769,-6274.0254091669439731
512000,-6317.3507318543151996,-6243.7950574678279736,-6316.7970258994846517
576000,-6027.4493287989744204,-5961.0564034252993224,-6014.3346749696902407
640000,-5531.1823608778831840,-5519.2272886737519002,-5523.9087165952114447
704000,-5261.3664087378074328,-5261.5132902687300884,-5201.0664806180411688
768000,-5002.6147180967782333,-5060.4023240102205818,-5067.2124267866256560
832000,-4969.4084371594663025,-4932.4984493671872769,-4930.3063592349244573
896000,-4750.0241187786514274,-4757.4275540766493577,-4796.3197947934359036
960000,-4845.7962786634025179,-4881.3400219678078429,-4856.3353410939407695
1024000,-4572.0956843840467627,-4576.4331100022636747,-4574.1627588230921901
1088000,-4319.4798328153001421,-4275.6749979419046213,-4318.3298513644631385
1152000,-4040.4365215099423949,-4093.8861886503909773,-4093.1284526972594904
1216000,-3914.8570264032605337,-3973.2280165120705533,-3926.2694085216294297
1280000,-4005.5672978895136112,-4005.7956114858366163,-3958.6079269332803960
1344000,-4013.2987810673971580,-4041.6605950161215333,-4046.6564401219698084
1408000,-4499.1881515103577840,-4504.7621512224950493,-4457.7674639723281871
1472000,-4093.8298135183331397,-4091.9592770929048129,-4137.1470871490173522
1536000,-4163.3119341843221264,-4115.7993643909112507,-4155.0804061431408627
1600000,-3989.8661830623341302,-4034.4486386746143580,-4011.9865985301453293
1664000,-3609.1632274201615473,-3613.4772392688323635,-3670.0455728119895866
1728000,-3313.5094115187757779,-3310.6580355788578345,-3250.7908098122784395
1792000,-3285.9050719730175842,-3239.3610238446963194,-3285.9669498634643787
1856000,-3224.2826069772463597,-3223.7790931041881777,-3203.6878820089555120
1920000,-2805.2459645197645841,-2813.9999409994684356,-2817.1737352633776936
1984000,-2583.9612389351968886,-2518.3852009073507361,-2504.6802647341701231
2048000,-2379.0103586069103585,-2391.5363435526992362,-2346.4255697460916963
2112000,-2336.6669853037064968,-2337.4481208045122003,-2375.3495963612058404
2176000,-2302.3740573956815751,-2294.3787015336979493,-2236.2305877175513160
2240000,-2218.2518304928839825,-2263.5119556175732214,-2263.1105723815321653
2304000,-2386.0642440146425542,-2388.7202405503553564,-2336.9256549225124218
2368000,-2169.4204043242011721,-2169.6605915713098511,-2138.7940027690206080
2432000,-1994.6880764475688466,-1989.6283591737430925,-1949.7241819082837537
2496000,-1865.8486099283272779,-1855.9853791437033124,-1865.7649349929463369
2560000,-1510.7080179227164081,-1492.8565441948123862,-1511.5366548704032539
2624000,-1342.5297667630791238,-1398.0766167999242953,-1384.3395518650149825
2688000,-1238.5646289583439739,-1167.8063201859540641,-1161.0048485262504983
2752000,-1000.7041370191824399,-1000.7517670463347486,-1002.2784064953826828
2816000,-884.3242265258428461,-911.6596192314925702,-911.5763054334236131
2880000,-830.6942705550231949,-813.0228000906287207,-877.8249604821395451
2944000,-786.2161512659399705,-786.6106666552680053,-733.0147273062625572
3008000,-644.8371915792281470,-626.1933707683534749,-627.9525862450484510
3072000,-511.4576052891739550,-499.3384685210728549,-497.3182226662189578
3136000,-434.6992221428095604,-428.3351107046117932,-472.5892731246578364
3200000,-366.5451192180668158,-374.7136105821420529,-409.8671203583392639
3264000,-396.2221801247846997,-384.2543072227996390,-315.2054497124524914
3328000,-329.6997315555267960,-319.5935199329607599,-326.8856149206461055
3392000,-305.7500950062536731,-306.2574238910854092,-282.1403798765851434
3456000,-300.0650238961218292,-311.4529209963912990,-314.2597608094632164
3520000,-285.4186722099175881,-289.0967504500701466,-338.7095692682017898
3584000,-326.0605754622326913,-286.3507166173628207,-326.7458575601017401
3648000,-314.5033854649832392,-312.6562100543773113,-312.8214251711585803
3712000,-238.7261600830100576,-199.5577263068446143,-202.4694683714739654
3776000,-298.4775682815953246,-299.8972240232155855,-258.3410923756396187
3840000,-272.0990263869616683,-325.7166907293961913,-326.1594954236608714
3904000,-321.0259841382318768,-319.1209023213090745,-263.0487467084585091
3968000,-324.3437738822468646,-364.0606215057277950,-312.5277170545942909
4032000,-266.2545185684887201,-345.6071803698043254,-280.7512998022511397
4096000,-286.1422312131791159,-254.8775813815477989,-241.8919492946469916
4160000,-371.4719798608336987,-373.6576978013128496,-376.7196285844302110
4224000,-371.7742128577602898,-351.8024556960127711,-350.7667692374216131
4288000,-323.3842196085947762,-322.8034075251065929,-282.9531380201073034
4352000,-315.3546334150261714,-302.4092959971569599,-368.4970727171351541
4416000,-319.8434497257140947,-310.4301055433874694,-310.7460324307213568
4480000,-184.5034547149590480,-192.4057717601756394,-192.3766993115641242
4544000,-217.0743802751462965,-225.0035361825586619,-220.4784697851303861
4608000,-354.5985694473430954,-353.1774691880935961,-332.4359631764976939
4672000,-320.0882590652239514,-350.3877885637850227,-327.2393530670816517
4736000,-339.7435453503173335,-340.3141497267462228,-341.3530904595745596
4800000,-276.4629473329480334,-276.7133695075801825,-277.3842110592661925
4864000,-281.4685628982877006,-262.0698238759605943,-280.0370582958677232
4928000,-231.4797179371177833,-230.4916499097340647,-279.3706611418045327
4992000,-292.4562839023225820,-290.3657292915846142,-282.8910595753234816
5056000,-229.0832482141194930,-227.4705571313055543,-240.3898162118015023
5120000,-314.7315392603712780,-268.3017866852391080,-271.0263406977726390
5184000,-300.3877041415605618,-246.6101012639377927,-292.3173462963948737
5248000,-305.2745020461943000,-291.8479675437459946,-357.2074973977715899
5312000,-243.8967752628179539,-194.4347565626274559,-192.8596886970652520
5376000,-317.6311650722710738,-316.3641823510803874,-254.1021540367834461
5440000,-288.3667238097395398,-233.8256582738661109,-290.5718202430085171
5504000,-315.5736548000610355,-315.5130322998937800,-266.0267073928469586
5568000,-287.2760001236702010,-258.4795075878326429,-270.7594858660196451
5632000,-264.2570441392107341,-325.5114881206185942,-327.5665051098742993
5696000,-341.9713389641177059,-322.0305345637146957,-315.7948460459502940
5760000,-360.4508807165917688,-322.7374674389674283,-304.5946116495932756
5824000,-384.1950457687008793,-380.8563631694093488,-386.4846749981671792
5888000,-288.1070523937372059,-339.6419525704332045,-334.2059084568087428
5952000,-244.8110868454499780,-247.4363188224424448,-305.4993949846267469
6016000,-309.5661156416700237,-256.5572311516966124,-262.0585547091620242
6080000,-270.1308720476239387,-269.1608453481742345,-332.0013584472011985
6144000,-300.1021692327378219,-261.4686103669850468,-298.1709314227712753
6208000,-236.8711337121231395,-249.8269081075468421,-293.7664830291220142
6272000,-243.2217068661252029,-233.5432601076857111,-290.8171760823378236
6336000,-262.4095316490848404,-271.9144679773262396,-257.2225552981278724
6400000,-246.0680970665816290,-248.6407920877395838,-248.0414831258632091
6464000,-183.7714036537628886,-183.8590467512331657,-139.9325618749852254
6528000,-63.9915831244001794,-56.5469575947841605,-87.1051003208269208
6592000,-153.4270384065045789,-154.6348672287954571,-153.2839404348422647
6656000,-122.1517323799349697,-132.8831029583003840,-166.9043491206573151
6720000,-84.8008702837642545,-139.5765900025791382,-99.8512206803730038
6784000,-53.0669656882306739,-88.3051319323554225,-52.0258880490308826
6848000,-89.0047398603489910,-87.8889489062964913,-85.6604322156155575
6912000,-75.3651152550667831,-71.0931769126432584,-61.8495907345114730
6976000,-48.2915453814803470,-106.0682846384137434,-49.6984359853827797
7040000,-99.0260556259040925,-102.6568563332625956,-94.3476483727506690
7104000,-97.9558694607580946,-47.6541038290708627,-101.6400959470278735
7168000,-118.5002922360184527,-126.7794110503431568,-80.2520082168558275
7232000,-77.9899003651814837,-130.5748183897381125,-78.9148080377722323
7296000,-91.5793730930296164,-51.5144311408349154,-91.4125095900879643
7360000,-126.0292706973396264,-68.0237357405361820,-67.2860204823679453
7424000,-66.0135826714436149,-132.5459712814129887,-56.8867068351363372
7488000,-92.0298103093303581,-92.3693150213156429,-91.9902972922260318
7552000,-206.3405578908146367,-193.2889129064921008,-196.3804137006329711
7616000,-234.1637411149570198,-188.8709465605232367,-183.9804618962606355
7680000,-125.9286842606211536,-183.6837366484450058,-178.3204130506535705
7744000,-160.8466304313575677,-160.1870234676815699,-122.1332373824172493
7808000,-126.1471073334368782,-160.9413636120554543,-129.6376254196913180
7872000,-133.0107632808808944,-142.2297935554030914,-90.2777629808265232
7936000,-141.2982404426195444,-178.8386874827862414,-140.7249565536902765
8000000,-168.6808075004910847,-193.5811526116746393,-173.9472880797399625
8064000,-210.2266891009946335,-209.8424547968989486,-222.2335756681451358
8128000,-124.0432349383175392,-182.2356230558699792,-109.0625426473748689
8192000,-137.2647879190100753,-146.3572148602403900,-193.6810002378996103
8256000,-183.1792700568462351,-185.9610205239972345,-185.2014069546840460
8320000,-104.6468784423628762,-133.6336942819320939,-136.8908966458273255
8384000,-130.0430392550313741,-53.9269993617797923,-48.6141294425565889
8448000,-71.1086015247563665,-70.0240084202208948,-14.0786721901559773
8512000,-0.9785693033453917,53.6283311654536448,55.2492737766080140
8576000,25.5290464225757745,25.6024227855168789,95.7408729079661072
8640000,-9.9832792334905207,59.3392431284236679,65.0404112100018921
8704000,29.6746983212167734,55.9014368100461496,27.8375407650960867
8768000,96.9345047684904557,129.0675876467006162,49.9450046464029640
8832000,58.7630986588853830,65.1678507269787843,107.4747315908035716
8896000,40.8479067177923412,38.2738614280351683,22.9726796460437939
8960000,124.4311872753075789,113.6950701029201269,50.8955352977557851
