Step,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MAX
64000,-4408.8658511846360852,-4341.0659639394034457,-4341.1262788841931979
128000,-4261.1621192946840893,-4261.1954080848008743,-4261.0027639862009892
192000,-3988.4590296793312518,-3988.3206258160921607,-3988.1155410753194701
256000,-3907.5511303774028420,-3969.8929531287817554,-3973.3166767496304601
320000,-3802.4699504662703475,-3803.3035406403132583,-3869.1260090005534948
384000,-3583.2496243428013258,-3648.6134895589739244,-3649.7834776725499069
448000,-3621.2039592445566996,-3619.2296868928906406,-3687.2794152762448903
512000,-3897.3397638125629783,-3826.0936296434092583,-3896.0048747607788755
576000,-3766.1239651680775751,-3834.5601324522585855,-3835.8376519840239780
640000,-3498.3225241076888778,-3498.4719674659609154,-3570.9411775164535356
704000,-3502.8218641339185524,-3503.4267523924436318,-3503.6054957825090241
768000,-3619.8168692534222828,-3619.1104770194315279,-3618.1809462332421390
832000,-3303.1876711764507490,-3302.8147729460365554,-3374.2934680826792828
896000,-2868.5028870981218461,-2865.7781715375617750,-2937.0727833679952710
960000,-2585.4287395085248136,-2656.6031743212374749,-2587.3467960001003121
1024000,-2719.3884309409113484,-2720.6123797268846829,-2723.6843612672346353
1088000,-2662.6560926309348361,-2733.1611157909387657,-2664.3772721018967786
1152000,-2697.4720630240753962,-2766.5608144044044820,-2766.0073124704695147
1216000,-2538.4101287645571574,-2537.7051667305172487,-2474.1483422023070489
1280000,-2171.8072069855747941,-2238.9212874615654982,-2238.0837166739083841
1344000,-2294.9773887236697192,-2226.7811271599257452,-2293.9055435054624468
1408000,-2382.6364385759907236,-2382.3801931330117441,-2449.6381305820059424
1472000,-2333.1870972054562117,-2404.3916433088634221,-2406.1702972131060960
1536000,-2256.1042544969423034,-2255.8433663904779678,-2187.4241279042562383
1600000,-2352.1343221829570211,-2284.3443134989856844,-2284.3659830669653275
1664000,-2337.5045235942152431,-2337.5265782360288540,-2337.1937357840379264
1728000,-2305.4947106033901036,-2379.1187900203253776,-2380.8884410911114173
1792000,-2262.7218390309990355,-2194.3712279454989584,-2262.8580658374758059
1856000,-2136.9631154679300380,-2201.6980888345196945,-2204.5611652848147060
1920000,-2245.9283858320304716,-2309.4781226049703946,-2309.3346200729406519
1984000,-2397.1738675832352783,-2393.9720853323697156,-2462.7330310727011238
2048000,-2368.6709545989410799,-2307.1300059076579601,-2369.6841687247797381
2112000,-2308.7002665291488483,-2240.1984863166057949,-2307.1684242918881864
2176000,-2147.7095080370213509,-2213.1289292139863392,-2216.5363334625444622
2240000,-1896.6516720472031921,-1831.5895156426468020,-1831.3297077894164886
2304000,-1775.6977637864413282,-1713.0365606106586256,-1776.0619628789449962
2368000,-1675.2438715852651967,-1674.8684585003534266,-1675.4318006382522981
2432000,-1569.8988286564087957,-1503.7680863234463686,-1575.5224107683595776
2496000,-1580.4397622994615631,-1580.2950431471867887,-1580.3212614534024851
2560000,-1620.0482042766134327,-1620.5664823920069466,-1548.9561941648235006
2624000,-1591.2963609546832231,-1589.6965750030640265,-1591.6029813588399975
2688000,-1573.9937360040958083,-1502.2426794652669741,-1497.3177816999120751
2752000,-1480.6245049015187760,-1481.0571576925799491,-1481.2266183626984457
2816000,-1482.4189958768390625,-1481.7441861513943877,-1409.8458281491539310
2880000,-1359.7661178068965455,-1361.5495233035717320,-1297.4469248813043123
2944000,-1359.8754512241689554,-1290.8861687099804385,-1291.3224487943637087
3008000,-1272.3410560199943120,-1271.1563461563632700,-1271.3405069478815221
3072000,-1282.4676100295573633,-1282.7369906152284784,-1282.1771900402857227
3136000,-1115.4110948285238010,-1115.1940224008328642,-1120.3331625456548863
3200000,-1089.6374388064191407,-1089.9637234786953286,-1026.2574457160037582
3264000,-1068.3132394777037462,-1001.4639071132138497,-1001.9234613650090751
3328000,-988.0198957490513294,-1056.8321650816151305,-1057.6060770439605676
3392000,-1004.3528815388059456,-1071.8386060299512792,-1072.5290835587247784
3456000,-1065.8758151929187079,-1062.3212506471659253,-1065.0765102845082311
3520000,-1023.8251999463676611,-1026.3835893865546041,-959.7531232702700663
3584000,-803.3000273622490113,-873.9549375334325987,-801.3619373449575960
3648000,-857.1798486858392607,-855.1778616743453085,-782.6707473264199280
3712000,-831.5647047436326602,-830.6944961948806849,-758.2318993485156398
3776000,-721.1125804957341643,-784.4936189667389499,-720.8702275635006345
3840000,-634.8859803411428402,-708.0080915518759639,-632.4611200937222293
3904000,-663.9338811374202578,-659.7435519220829292,-590.1188458795431870
3968000,-548.7506673674408830,-619.2685716048922586,-549.2822697291684335
4032000,-590.7476559567539880,-520.4892611176254604,-590.4993793616138191
4096000,-526.5275575027187642,-526.7223239894171911,-525.0084716404305709
4160000,-453.3272344696516711,-456.2732579321773301,-524.6819140872029266
4224000,-475.7853138927358714,-403.9990620346985679,-402.9401789967552645
4288000,-408.4173524971571965,-409.9589000145614364,-339.0861767934100044
