Step,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MAX
64000,-4407.0878849315013213,-4343.3255891121198147,-4407.0752852482437447
128000,-4261.5737820393060247,-4261.0288743653536585,-4191.5430466714797149
192000,-4058.5775932479568837,-3988.2825539905716141,-4059.7454997299287243
256000,-3903.8839143845229955,-3973.6795463105509043,-3971.8032187438088840
320000,-3797.9225304526994478,-3873.5682770030389293,-3869.8650322464691271
384000,-3648.4137606288318239,-3647.5745264191095885,-3584.0610655500749999
448000,-3615.4749157932656090,-3689.4066829052917456,-3616.2183712594683129
512000,-3895.8622003159343876,-3894.7177338851843160,-3894.4047471807466536
576000,-3761.5990452287505832,-3763.9125615206394286,-3835.6147450543335253
640000,-3567.5594121354401977,-3567.0674521878286214,-3567.2558392754094712
704000,-3501.9818678449305480,-3570.0305323918746581,-3499.5066440722548577
768000,-3549.4760689313188777,-3548.8142536020154694,-3546.5842061268294856
832000,-3370.7083337383633079,-3369.9061671630115598,-3301.2961073180017593
896000,-2935.4749481506787561,-2867.7173900051875535,-2935.1161103898693909
960000,-2655.5967962195809378,-2588.9151340709845499,-2587.9350146259848771
1024000,-2653.1563976229076616,-2653.1559518911526538,-2653.1600739144023464
1088000,-2728.8341109011712433,-2728.3674413209009799,-2731.6987719516400830
1152000,-2697.5898131519106755,-2764.2675023605629576,-2696.4341074742110322
1216000,-2541.1933930085183420,-2541.0582394819148249,-2472.1220911478508242
1280000,-2239.5138752666848632,-2241.2221233662685336,-2241.8067744179411420
1344000,-2291.8262550921817819,-2229.4668045017924669,-2226.9781102941874451
1408000,-2385.4352750124767226,-2447.2878540440042343,-2384.9458891309727733
1472000,-2404.9951150529359438,-2334.2309557176795352,-2405.5115598707870959
1536000,-2255.8158995035164480,-2255.6275379384142070,-2255.4194015932753246
1600000,-2351.8634087357440876,-2349.3728301055716656,-2285.0796607288898485
1664000,-2335.3684673212974303,-2404.8674956130093960,-2404.9008818637175864
1728000,-2304.8832334714134049,-2374.7079194914799700,-2311.6240187589069137
1792000,-2193.1156325167712566,-2193.8659278000141057,-2193.7337368538219380
1856000,-2137.1204987442520178,-2135.2565492810936121,-2205.2783333742277136
1920000,-2310.8828312534196812,-2243.3318909094577975,-2310.8156326309881479
1984000,-2462.0178100305347471,-2462.2180642139205702,-2397.0167691299675425
2048000,-2301.1690854429289175,-2299.2856234462769862,-2301.9425323769778515
2112000,-2240.9511874171412273,-2307.2110742927984575,-2307.9613721393716332
2176000,-2145.7481116737949378,-2145.3065868354706254,-2214.9923781949305521
2240000,-1828.9018058324879803,-1829.1044997448082086,-1899.0978125967121741
2304000,-1712.8674188735265034,-1712.3698241061385943,-1712.8305017496409164
2368000,-1674.2762868525555859,-1676.9495782731416966,-1744.2785765253045156
2432000,-1572.8407491735842996,-1502.7664469378471495,-1570.0650067163853691
2496000,-1580.3702893374659197,-1580.3707520258747081,-1510.5847519146068407
2560000,-1553.5679107865696551,-1551.6816684682798950,-1553.3350734826315147
2624000,-1520.9689025633415440,-1594.8140605087619406,-1591.2478545806477541
2688000,-1500.3855865758273467,-1498.2177791726005580,-1500.3017380386650075
2752000,-1481.0728597369645740,-1417.2627101496887008,-1417.9320019233382482
2816000,-1409.4493088344456737,-1477.9503995918976216,-1481.1092693617936220
2880000,-1365.4078872255286115,-1293.0908138691966087,-1293.3338486605302933
2944000,-1362.7794067678228203,-1360.2901430712306592,-1361.0275692156071727
3008000,-1341.7683410146289589,-1338.1881743282481239,-1269.5944280892697407
3072000,-1286.2448051266565017,-1284.9226459012716077,-1211.8039866036701824
3136000,-1185.2061261548528819,-1186.8165146452845420,-1190.0787757282637358
3200000,-1094.6310860315777518,-1023.1074473888003240,-1095.0402207478844048
3264000,-1073.0748629740940032,-1069.4776958902925799,-1001.4855961805174047
3328000,-991.8307515292876815,-1054.7194939976832302,-992.3177566255457123
3392000,-1070.7543949891487500,-1003.6126115663469136,-1068.5227463750900370
3456000,-1066.5328197774256296,-1063.7375772225327637,-993.7213473966097581
3520000,-1025.5597573792649655,-958.4387766888012266,-957.1990236962536756
3584000,-805.3873156561691076,-805.3396228266979051,-805.3704730624579042
3648000,-850.4868845010827272,-785.3395608867537021,-852.2466383069563562
3712000,-828.0165772838660132,-828.7021967041073367,-828.6311397299039072
3776000,-792.3731245398046212,-714.1687298407188109,-715.0585765669011380
3840000,-704.8128943293784232,-707.3709763402887347,-638.3570756622711997
3904000,-660.1609214513061943,-590.6512440741015553,-660.3650190279034859
3968000,-549.0144608591012911,-548.5408646431109219,-548.9032412811748145
4032000,-525.1340452096403624,-586.0790302438861090,-586.4351551131551332
4096000,-460.5106820780055159,-525.7042979924293604,-459.7047289090144773
4160000,-526.6803599320392095,-454.1398799658986150,-455.9589142652470173
4224000,-405.8418249596878695,-403.3362976708698397,-403.7333120568526965
4288000,-340.2149455350530047,-408.4040881479866130,-341.9506708399989066
