Step,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MAX
64000,-4342.7890974763404301,-4408.5013078847850920,-4408.8254817072156584
128000,-4260.2606975347416665,-4260.4500950044384808,-4190.5992620975639511
192000,-3991.8755885255750400,-4056.7428003244276624,-4058.7972182765297475
256000,-3906.4418826922392327,-3905.3924929850886656,-3973.2659469321979486
320000,-3872.1344836185849090,-3868.5006428315164158,-3874.8763652016241394
384000,-3580.3884793105662538,-3581.3226094406604716,-3650.7074616376394260
448000,-3687.7288719608241081,-3686.4984811722811173,-3687.1726710635830386
512000,-3829.0142538663303640,-3827.7575187252905380,-3895.8248575216684912
576000,-3836.9285187638320167,-3764.3357702190241980,-3763.8481328942484652
640000,-3570.3863619728895173,-3502.9013265586795569,-3502.2966642841411158
704000,-3573.3111339875576959,-3504.1997999537315991,-3504.3505789927962724
768000,-3544.7302510961949338,-3547.9195837096531250,-3544.4859116785287370
832000,-3369.7804514405224836,-3301.0551130316434865,-3305.6196178887144015
896000,-2865.9568549804184840,-2867.4984990769003161,-2935.4098205121777028
960000,-2657.0417280792239580,-2585.5131271354257478,-2587.7186319851834924
1024000,-2723.6790118310736943,-2650.9240360095036522,-2722.3908955986148612
1088000,-2659.6257235260877678,-2733.7564878943567237,-2733.5139195159981682
1152000,-2764.7000452848187706,-2695.9072416970657287,-2696.5458918097419883
1216000,-2539.9119656194470735,-2540.1157652134147611,-2472.4885453703163876
1280000,-2165.5617177568879015,-2242.6762916924444653,-2168.8688801315365708
1344000,-2225.6130853915101397,-2295.9788566644565435,-2223.9087297402165859
1408000,-2384.1053816096032278,-2449.5468361016587551,-2455.6066859932657280
1472000,-2335.9101682841942420,-2404.4672142357462690,-2335.2203146500787625
1536000,-2186.9292967375527041,-2186.7752355641373470,-2186.6874702572931710
1600000,-2282.1123248715935006,-2351.9927117242791610,-2352.9132217400356240
1664000,-2408.2542925198445118,-2406.7080371513347927,-2406.4920534710477114
1728000,-2306.5612834145986199,-2307.5210354242676658,-2307.2157831876124874
1792000,-2192.4008603564011537,-2191.9554267643752610,-2194.1974920963339173
1856000,-2205.9402225176368120,-2134.6525431522495637,-2131.3114833178537992
1920000,-2244.1210887768784232,-2244.7008930313968449,-2311.7137792197177077
1984000,-2392.1105931762181172,-2467.0679256661228465,-2393.2339590789556496
2048000,-2304.7557404780313846,-2371.8150077602699639,-2371.8620174168054291
2112000,-2237.3916112719180092,-2311.2245089453995206,-2310.7743379189932966
2176000,-2148.2260708344742852,-2147.4308148700511083,-2215.8570597809598439
2240000,-1827.7330778979703609,-1827.1136377671759874,-1901.0279536098521476
2304000,-1776.8742671738204990,-1777.9816486850397723,-1778.3359427910072554
2368000,-1676.1746448274132035,-1744.2631720234401200,-1675.0140868397886607
2432000,-1501.4767636567657974,-1574.9254063239759489,-1574.8967185219369185
2496000,-1511.6345707502159712,-1579.0786534056662731,-1579.2218310669829862
2560000,-1617.7683818144857923,-1552.4321477276928363,-1548.8648647532943414
2624000,-1590.0683487676990353,-1589.4276774836605455,-1588.9063887930694818
2688000,-1570.0997167731554782,-1570.9579182095108081,-1570.4005810119319904
2752000,-1415.7513298971396125,-1481.5659378452448891,-1482.2434334556517115
2816000,-1410.0109441175602569,-1479.9684856638371002,-1479.9301127315015947
2880000,-1293.6274476321689235,-1295.6518710726252266,-1295.5848195706701063
2944000,-1291.4577250856009414,-1291.8650047345322491,-1359.7255071963440969
3008000,-1339.6480354288876242,-1268.8854330237852537,-1340.0511570262817713
3072000,-1283.0757005723073689,-1214.5584132419630805,-1216.7724314289196172
3136000,-1191.1680618139475882,-1190.9757550239769444,-1189.1720981200489859
3200000,-1026.0004970318439064,-1095.9210305570445598,-1020.2742508700006283
3264000,-1069.0596287055320772,-1071.6963390315897868,-1070.0578548501648584
3328000,-1054.6043891840843116,-1054.6594654847704078,-992.4542996504361554
3392000,-1072.6528697553931124,-1000.1923885367446019,-1071.1966686822693191
3456000,-1059.7513515898428977,-1061.0249908172302185,-1059.9536159782867344
3520000,-1030.5963724780147004,-953.2326480225319756,-958.2494331867010260
3584000,-871.8708749064907124,-872.0525563080622078,-873.6509046835184336
3648000,-851.0863631509113247,-851.1352857907201042,-786.9475187004777581
3712000,-760.1050314913920829,-761.2230866639523583,-759.8465636827156686
3776000,-787.6589284403486317,-786.8171927300031712,-718.0728241624083239
3840000,-707.6192890269879854,-708.8442734205179931,-634.0279339643765297
3904000,-660.3745204331794412,-592.3503382109820450,-660.5303981334147920
3968000,-550.2504097554373175,-549.6553252863211583,-615.5833961489173589
4032000,-521.5249234007191035,-521.5675044802942466,-521.5619579698965254
4096000,-457.8419598692616432,-457.8115383929289806,-526.4650373260044489
4160000,-521.5651599836447758,-459.3209679210190188,-522.2789398473685196
4224000,-407.2948770452164808,-404.9640541035481078,-406.4121379244080572
4288000,-411.2052293017479769,-410.1806339972596902,-338.2840891479651191
4352000,-395.0062450233316440,-394.5626191823765225,-328.2541100535449345
4416000,-354.9905817281102713,-349.3074979728315839,-420.2749460652908056
4480000,-320.8048016456834830,-320.0588101355817798,-318.9127394479966142
4544000,-309.0983851019610711,-381.1615584539819679,-379.9729840152766087
4608000,-357.2634337623317720,-288.7312641930105883,-356.4048735724376229
4672000,-354.8520067372840003,-283.3465853009162174,-283.0967113232393331
4736000,-234.3568755307212257,-301.7783740715011049,-233.6978947622355918
4800000,-203.4335833998424903,-203.3662004450811480,-265.6641168095648595
4864000,-201.1468833288687392,-269.2390395766197457,-269.1185165928308720
4928000,-201.0230715251377944,-270.3231199818561663,-199.3556557818853037
4992000,-191.2812966612179935,-260.7455919575583039,-193.2662168213965401
5056000,-265.4836656787185234,-264.2106524160391245,-333.1096399897512015
5120000,-263.4769133976179774,-334.5283295642372536,-261.9327660462338372
5184000,-343.5474788134803816,-281.1125501346405144,-281.7968345145339981
5248000,-368.7982372849020294,-296.7255956833942037,-369.4799223236252601
5312000,-307.4547366880918275,-237.4397090295853445,-307.0132021415551549
5376000,-280.1930790364348240,-203.8974141800666757,-203.5408661520329474
5440000,-265.7952221181380423,-199.0705075376707214,-265.5922113652791268
5504000,-250.0928100895552859,-250.0315035900054852,-249.7206263627996634
5568000,-236.1038756537840868,-236.2439549162250785,-166.2535448305350201
5632000,-252.9265092545283835,-251.6123465416974341,-252.6068438986402498
5696000,-278.1639289827384687,-279.2437145982390234,-281.3995300979195804
5760000,-275.0665237624533574,-213.5758781221324512,-210.5622559682934138
5824000,-181.3326592419402346,-257.5200664768503884,-257.0821739825602776
5888000,-229.7959347789735034,-232.0304845174151751,-158.0381713107627206
5952000,-238.4728832204463629,-173.7024545104059712,-236.6416153352995480
6016000,-167.2962567256547857,-240.3116125052334837,-171.9399873911391410
6080000,-161.1761901611823475,-160.7603918242351710,-161.6823351060970424
6144000,-174.5659032816599279,-243.1969592673773946,-244.3091896610308993
6208000,-181.3787693715068201,-247.0761532918137675,-245.9969253335707151
6272000,-156.4700194677149057,-232.9042100971487343,-156.4298992858109330
6336000,-123.6749385176130431,-202.8848274511248633,-197.6848359192993883
6400000,-134.9491536957004882,-203.1132797942630930,-136.5246002239844358
6464000,-120.2060820069552278,-121.9500337391947369,-193.3640641350620228
6528000,-184.5445652415076268,-184.6903475386948230,-184.6280348211848832
6592000,-187.2063015591850501,-116.3484622835641744,-113.1773940998658645
6656000,-172.2295610785836288,-172.5087232733145015,-172.7027029479445446
6720000,-101.0015361576266599,-169.1786501563752836,-169.8556764188295176
6784000,-96.2306953113141645,-95.3501683725814644,-164.5253851251388824
6848000,-92.9647715952880844,-93.2859762819605578,-93.4125277453176182
6912000,-167.5065157712548967,-96.8588938483457582,-165.5879053031890749
6976000,-158.5044690464106054,-85.8085473301694321,-86.7274947669697553
7040000,-84.1532005063407382,-151.8049336943542471,-150.3885157679021916
7104000,-152.0299203657530995,-152.2743142895358801,-86.2187736444998620
7168000,-69.1332482880253707,-142.7832813220055641,-142.2612886117174185
7232000,-125.9536738816616435,-61.2424355123604940,-127.4582976736507760
7296000,-126.6412385828745073,-126.6583047129453519,-128.1313879034198067
7360000,-52.8238268142865479,-52.4567291236698949,-52.3324056211179425
7424000,-126.8373969928406950,-54.9509922659461694,-56.6061294207376591
7488000,-45.3841841814305411,-47.0225848707027865,-45.0936374334384666
7552000,-33.0699853578620235,-34.6915128612762018,-103.6077163365276874
7616000,-25.6832749189617005,-101.8255900115783277,-29.4427900432138969
7680000,-26.9330263135766543,-97.9875582302739900,-100.5194661610532449
7744000,-24.1812747339451519,-23.5864724885892372,-90.9373437657800281
7808000,-87.6364769086319768,-20.3528084609954902,-20.2460445418928856
7872000,-13.5884545216139969,-78.5272525542708593,-13.2244884237688041
7936000,-90.1761597870793850,-25.0325237651885395,-92.5274069072406178
8000000,-96.5393453628257703,-96.7038149838040226,-96.3100820717105819
8064000,-19.4395522166482380,-18.1668911528944292,-85.7040299519352402
8128000,-16.0259446890315260,-88.7426771630502316,-87.7327570538522252
8192000,-8.3610015150443147,-77.2624923296020540,-76.7098902637258675
8256000,-5.0157856662848985,-68.2904862749699362,-69.0017345472081161
8320000,6.8235048274073904,-62.7539322088272300,-65.0341496050118337
8384000,-64.1192737835582562,-64.8170440435321780,1.3418951319250780
8448000,5.2174567094030238,-61.8746941787929714,3.9324859446686489
