Step,harvest_original_cbam_inequity_aversion - SW_ep_rew_total,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MIN,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MAX
64000,-6367.5589661319554580,-6333.0168720914680307,-6334.0163015526050003
128000,-6417.7120863261052364,-6390.2756855717861981,-6390.5894460366434942
192000,-5552.0750650912623314,-5587.0589824285607392,-5556.5987190141759129
256000,-4875.0570498605038665,-4875.7197397991421894,-4875.7499254493468470
320000,-5503.0457195497483553,-5506.3198522946240701,-5499.7029935553873656
384000,-5344.1416159676582538,-5380.2706324260061592,-5345.6248328373812910
448000,-4634.8680840640417955,-4676.1884319538758064,-4671.9833250771080202
512000,-4628.4571178263668116,-4631.5883909427748222,-4630.2250852699462484
576000,-5314.8008881203968485,-5316.6371194705161543,-5312.4404335569206523
640000,-5562.3672602061760699,-5562.5873000114652314,-5527.6299768836506701
704000,-5766.6457845537051981,-5768.5309023404397522,-5766.0215495326337987
768000,-5500.4272631599642409,-5495.6912142009186937,-5525.7644422313078394
832000,-5030.8687203700619648,-5055.3864184475705770,-5052.2102468438715732
896000,-4612.0364128726987474,-4650.9513070022958345,-4658.3777355727224858
960000,-4186.5253323006681967,-4188.4652187796209546,-4191.2194751664519572
1024000,-4111.1807129492754029,-4115.4601588259138225,-4112.4789182953654745
1088000,-4330.9574971043275582,-4322.8724711499553450,-4281.9050442212537746
1152000,-4222.9581287625615005,-4256.2542439095850568,-4218.7731219602965211
1216000,-3843.8695860027146409,-3844.2982362764942081,-3882.1711028835452453
1280000,-3285.5647272731443991,-3284.5285083867884168,-3240.5977277113988748
1344000,-3178.7294144793136184,-3179.1339230000830867,-3219.7824047110843821
1408000,-3252.9135763602662337,-3255.1316045435737578,-3287.4393444330844432
1472000,-3095.4337821489525595,-3137.2636990602886726,-3138.4489066958185504
1536000,-2715.6342634099028146,-2714.4329626365788499,-2686.5077588013264176
1600000,-2681.8381089553017773,-2710.3035998703107907,-2709.8844603260104122
1664000,-2608.3507873716403083,-2608.3234746079187971,-2632.4543735708653003
1728000,-2568.2641310043181875,-2602.5300343158023679,-2569.0034152396451645
1792000,-2487.8216290956829653,-2486.5821079442835071,-2482.3673949077483485
1856000,-2480.9106998088977889,-2441.5393726606889686,-2446.1702708939224067
1920000,-2306.7172544088011819,-2305.1708986397679837,-2302.8167277122765881
1984000,-2320.3543425687812487,-2315.0898117041606383,-2369.8267359522742481
2048000,-2361.1667765425245307,-2358.1495362998175551,-2318.1849936035659994
2112000,-2163.3300846641691351,-2164.6103711102464331,-2216.2482070667133485
