Step,harvest_original_cbam_inequity_aversion - SW_ep_rew_total,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MIN,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MAX
64000,-6336.7459447813380393,-6334.6426722644919209,-6333.4409559494151836
128000,-6379.2977300025204386,-6381.6328756217453702,-6426.6588192960962260
192000,-5595.6254018936760986,-5553.0236838681421432,-5589.4323864400394086
256000,-4871.6329485901578664,-4871.5857561353850542,-4908.1792235426137267
320000,-5508.3983634627375068,-5509.4095648256979985,-5463.8479828407535024
384000,-5344.1318847134380121,-5382.2429156899279405,-5343.7578026652518020
448000,-4674.3845533786452506,-4637.5298608017483275,-4670.5410980461847430
512000,-4590.6101168415843858,-4635.5576785509438196,-4584.1998647857517426
576000,-5279.5675009416163448,-5313.4866206254400822,-5312.8673355999171690
640000,-5530.7682273615237136,-5530.5434100856500663,-5563.6946881690482769
704000,-5774.4023811697470592,-5722.0821472616971732,-5723.3155483220871247
768000,-5492.2001967415390027,-5484.5156609601835953,-5490.8256990926784056
832000,-5061.1126287304832658,-5061.2928856424086916,-5061.0882768512810799
896000,-4656.8786974697277401,-4653.6085926828955053,-4612.3476947136277886
960000,-4199.9185958302123254,-4229.8109183236165336,-4196.2996433570851877
1024000,-4103.6987261463782488,-4103.5761671244754325,-4067.4926214311753938
1088000,-4331.3377375904083237,-4281.8761151564312968,-4281.3990319000531599
1152000,-4226.9612930446301107,-4250.2318988959968920,-4227.0792829090205487
1216000,-3883.1334094037451905,-3842.2830241810838743,-3884.0858917880709669
1280000,-3282.0955473472349695,-3247.7585906816666466,-3279.0962422620873440
1344000,-3183.0188997844752521,-3213.9752994896525706,-3184.6895211252003719
1408000,-3253.2723645441410554,-3256.2830936855448272,-3286.5541776713025683
1472000,-3133.6328511213314414,-3095.6078416736745567,-3132.6665120212965121
1536000,-2686.9305444458741476,-2714.8589552633825406,-2714.4162660778993086
1600000,-2708.2456778584987660,-2713.9204745284232558,-2711.9863071610443512
1664000,-2603.4937366656063205,-2637.0045734555119452,-2642.3127044734683295
1728000,-2572.2627150708917725,-2572.4802116248397397,-2599.4782842307126884
1792000,-2482.4602491702416955,-2476.4604192562624121,-2481.2813088126767980
1856000,-2446.3357723018175420,-2483.2600310948400875,-2483.1851982538246375
1920000,-2310.1002003982680435,-2315.4425299806293879,-2349.0894874549985616
1984000,-2363.7886720301139576,-2360.9313050167215806,-2361.2423551703241174
2048000,-2320.0688814613176874,-2356.9567184092884418,-2353.8549196118487998
2112000,-2172.1932824908553812,-2201.4378336643162584,-2203.2704123003341010
2176000,-2406.9034334588541242,-2366.6140243877366629,-2403.6102176124395555
2240000,-2582.4024971986718811,-2536.7114305569052704,-2577.8738806214378201
2304000,-2593.6168412439988060,-2637.7618821423125155,-2640.6469467048987099
2368000,-2432.5446986899196418,-2391.0744354670237044,-2382.6938287419120570
2432000,-2186.1572103562302800,-2190.7628202306809726,-2190.9438725741392773
2496000,-2133.0696485976441181,-2107.4959233196959758,-2105.9572973532358446
2560000,-2272.9244511010620045,-2238.0971118104621382,-2238.4158204284444764
2624000,-2197.1734534042598170,-2162.0418449044286717,-2153.9035875155127542
2688000,-1923.6768129520587536,-1873.2660990359586322,-1868.3206384116990648
2752000,-1728.3658477240951470,-1689.1332087099356158,-1686.8189462882492080
2816000,-1749.0336496254801659,-1707.2251265088184482,-1744.2166610739793668
2880000,-1646.2108299506076037,-1642.1038822076188808,-1644.0372926680540786
2944000,-1582.8419666483368928,-1587.9013429829860797,-1586.8000648796917176
3008000,-1522.6503162245596741,-1523.1763916854492891,-1493.3176772198232811
3072000,-1377.9490971132254344,-1416.1154860710435059,-1376.9539336785007890
3136000,-1275.8435996714779321,-1276.3978670390147272,-1305.1869841633194937
3200000,-1255.3677053706762763,-1255.6327241473566119,-1255.4512877983142971
