Step,harvest_original_cbam_inequity_aversion - SW_ep_rew_total,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MIN,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MAX
64000,-6335.1844264474211741,-6364.8232515030913419,-6364.0764992602216807
128000,-6423.9127652583565578,-6381.9855151533956814,-6388.3815037837393902
192000,-5585.4442154192383896,-5596.6447109853570510,-5596.9719808066683981
256000,-4908.8638247593080450,-4873.7771671819282346,-4869.5781819984149479
320000,-5497.4519766752619034,-5469.2228858154940099,-5470.2890612112068993
384000,-5381.4225897722790251,-5343.7679485717853822,-5382.8000684552744133
448000,-4632.6403008908055199,-4669.1481707777866177,-4637.8255011672108594
512000,-4623.0217755629473686,-4623.8402900712253540,-4597.8669718372075295
576000,-5284.1947517459875598,-5283.7506648463913734,-5282.4741922166185759
640000,-5525.3782761881811894,-5522.6897132324120321,-5572.6022298127854810
704000,-5770.4801785177605780,-5765.9004826389264053,-5731.9753795996766712
768000,-5530.8618136404356846,-5495.5592020339154260,-5532.2259633673793360
832000,-5067.0472998506184013,-5063.2417512163610809,-5020.5902929579706324
896000,-4650.8837214904851862,-4615.3125569416142753,-4621.1414304631043706
960000,-4198.2008654401797685,-4198.3367598818940678,-4229.1607468848815188
1024000,-4106.7287073586030601,-4108.7799523038311236,-4059.4253105779525868
1088000,-4284.4231420965661528,-4290.8373525893803162,-4290.3627589995121525
1152000,-4215.1329308280564874,-4255.2677521669393172,-4262.4602308097764762
1216000,-3881.6008498814840095,-3884.2190310372407112,-3885.0622095281928523
1280000,-3285.3578773371850730,-3283.7845224380366744,-3285.7111399869049819
1344000,-3212.0653460604185057,-3181.4084398894833612,-3174.4219894929728980
1408000,-3250.8671063928691183,-3244.7369043261846855,-3292.4528053946551154
1472000,-3133.0707695557002808,-3092.2022440057871790,-3131.7906956922388417
1536000,-2678.8563622827509789,-2681.6606528488355252,-2683.0412171656885221
1600000,-2682.2835369950471431,-2680.7095442076374638,-2683.2872188681840271
1664000,-2640.1593879866168209,-2640.3900059819247872,-2599.4331524813219403
1728000,-2599.6775832563457698,-2600.4491292102434272,-2600.9453377804470620
1792000,-2480.1424208495268431,-2441.5810543780225998,-2437.9957616625733863
1856000,-2445.3491576369078757,-2481.8577583991809661,-2476.7920440906550539
1920000,-2350.0089135794642061,-2351.4428780870484843,-2310.2322105268731320
1984000,-2321.4905227191538870,-2320.9239058082462179,-2356.0766415924272223
2048000,-2355.8496627970898771,-2360.5506362889577758,-2317.6896090641203045
2112000,-2210.2273096475478269,-2171.3800379804547447,-2171.3824485745035417
2176000,-2371.0830274897348318,-2404.8860185540079328,-2401.6884411280034328
2240000,-2536.5876090083675081,-2577.1137427117769221,-2536.4156357577448944
2304000,-2645.9510650935867488,-2637.7317171347913245,-2597.0402940198300712
2368000,-2385.3359785123416259,-2387.4125865292994604,-2390.3134122193191615
2432000,-2226.2074741347391864,-2188.2834672144308570,-2226.6211702088439779
2496000,-2108.3333049073844450,-2136.8441274297269956,-2137.4207461763739957
2560000,-2279.7261603949518758,-2229.7465056114219806,-2274.4301537877640840
2624000,-2161.5917344570398200,-2162.0046828994645693,-2200.3349860866028394
2688000,-1877.1558555579306358,-1877.1603940294990025,-1877.1153548530160151
2752000,-1683.3373382128904723,-1690.6047001895378799,-1718.9216017472222120
2816000,-1736.9650932163740435,-1737.3393724766358446,-1737.5683900554756747
2880000,-1689.6725039257125900,-1686.1704144034811179,-1644.4931779496143918
2944000,-1584.8916036327432266,-1588.8420924155502689,-1625.6904547457011176
3008000,-1530.6127871460539609,-1532.4909311712701765,-1527.9009515114657916
3072000,-1378.0991388023303443,-1416.3253796226879331,-1417.0674555702096313
3136000,-1308.5616945304534511,-1273.7996616093682860,-1309.8521347108510327
3200000,-1252.9164876555419141,-1291.8559378098850630,-1290.6899791654266210
3264000,-1140.9143166194824062,-1181.5591920304959785,-1140.6684380162696471
3328000,-1058.9630502076652192,-1011.1389342639482720,-1060.8920988709471658
3392000,-791.9787847259809723,-790.6222872172140796,-795.6829782029398075
3456000,-695.0626660799332512,-697.4430890200712838,-662.5739666795980156
3520000,-656.7778041438815535,-629.7057712526071782,-656.2470826055429143
3584000,-585.3134046067544887,-586.4546699361610536,-581.0263704106895375
3648000,-533.0725073248265744,-538.2675172155443306,-502.3686501363891921
3712000,-413.3189568243141139,-417.8967543275014123,-412.1196788851912629
3776000,-382.4465290503753749,-377.2357447861185733,-425.0811628074482655
3840000,-348.3492511343915794,-307.4324251242372270,-348.5750788626577901
3904000,-278.9383739274043137,-322.5674071744527964,-278.9692787970370205
3968000,-337.7447065893951503,-338.8731042986354396,-337.8107486877684096
4032000,-312.2300060920770761,-312.3260433634649758,-311.8657104197396279
4096000,-264.5006396484193374,-264.4716324600413486,-224.9885447996417440
4160000,-235.5489758793868305,-241.6792297221536785,-271.4161447324403866
4224000,-225.2514366295308150,-224.9998130037776036,-248.3052269505810727
4288000,-221.8388351547362731,-184.1357983791670563,-189.7557853116664432
4352000,-188.5224112375942127,-138.0786121528190904,-183.7151216949017680
4416000,-157.3234046404214155,-114.7416838455216777,-160.6346549873698848
4480000,-120.1479601237043084,-118.2668711185297212,-157.5887800911290526
4544000,-216.1003420337941350,-214.8737651131209248,-175.3281302322051545
4608000,-335.1241644637140666,-330.3329790474028300,-283.2617603444151655
4672000,-403.3407970051136999,-397.3709021171511608,-398.4798767126074495
4736000,-398.4772176997501560,-401.7877687971654268,-365.0863022661347372
4800000,-419.5607298401628213,-418.9262099847600780,-381.5826849752349403
4864000,-305.9045307476670246,-304.6808322311050574,-303.8673412069444453
4928000,-331.8577337031638876,-381.8367664223427482,-381.8863584228078025
4992000,-363.2475996564561456,-363.5204408498665885,-362.0637572240995610
5056000,-315.6918274095951915,-312.9685214862524845,-312.2651538763564645
5120000,-295.7719532096574540,-254.7022942083902421,-294.4171305282791877
5184000,-290.8802787725543340,-334.0812560315821429,-330.4932472986093330
5248000,-303.5275564406637727,-301.6662987542343899,-333.9895179982272566
5312000,-349.2033652162406270,-350.4816549626534083,-349.3163982254295661
5376000,-430.3172732895873196,-430.2157763572730005,-430.0574809653533066
5440000,-361.0640804457427180,-359.7825428104192724,-359.1256026551002378
5504000,-354.6192095409655280,-317.8569806030847644,-317.6825128937800855
5568000,-329.4453918619147998,-340.9623686878449575,-371.2203852896267335
5632000,-276.7522077737498307,-318.4283559583875558,-316.1174526518304333
5696000,-260.5873441260098957,-268.7611169143171992,-224.7590148505617265
5760000,-259.0792985864512730,-255.5611510958297004,-292.0821399341088522
5824000,-261.1282032403697144,-220.4591907475496271,-222.3028289962699375
5888000,-186.5633802289434584,-187.4515059314055634,-187.9554753307002386
5952000,-168.7044028599449348,-143.2386363228394259,-170.1172452710049185
6016000,-194.3211341952543307,-194.2991013264467028,-194.2774744235601361
6080000,-228.8505168407538974,-196.5675685184282315,-231.7674431167974944
6144000,-184.3500209436247417,-155.9732554390885184,-183.9907931986724634
6208000,-211.2765654281934360,-210.5292411564389852,-180.3296616654646982
6272000,-176.9773803569092081,-208.4582368126577592,-176.3277547196572357
6336000,-153.9767616558504528,-150.1368404954925779,-193.7219573601057618
6400000,-153.1193941700863093,-156.6018798812310706,-126.1448340521021265
6464000,-124.6684156231865188,-121.9149318528361761,-162.6340648565820857
6528000,-161.3114262611978802,-114.6971148532504969,-108.3745248462390691
6592000,-132.8917984640353893,-130.6949930679754743,-89.8906392206855003
6656000,-135.6955825536048508,-87.4641092509085354,-94.1383173158638158
6720000,-129.1024937241145096,-86.9324906597158531,-129.4273499293619523
6784000,-47.5265759094760654,-84.4201621918503236,-47.9753476432161250
6848000,-73.7498208792239609,-73.8229993483082723,-73.8617470363724351
6912000,-144.4077326563902943,-141.7732228388080102,-146.7540939430978142
6976000,-151.2300248504802482,-150.8393629950316779,-113.8977546249251702
7040000,-106.8495331994703008,-105.2676163080696341,-145.3840936573131728
7104000,-134.6582788933750123,-169.9616395052584323,-165.4055516277780953
7168000,-130.5844726959588229,-173.5260649120320124,-138.2159104278193809
7232000,-130.8665756971801670,-94.0458483753781422,-95.5160403630302426
7296000,-156.1534446692231484,-189.0869651186325200,-182.9808777253716698
7360000,-168.2328052173745334,-127.4217223913524890,-179.0232384597637747
7424000,-126.9784777495021331,-126.1905835137069971,-126.1603558826073481
7488000,-128.6957937908468068,-122.1478680454242038,-84.1471696480164013
7552000,-112.3017216623640593,-74.6461997613886297,-114.4931393916650393
7616000,-83.6908607992050122,-53.4583346845303424,-53.1670673983458926
7680000,-36.8248397867529746,-75.2551695648012355,-73.5369788821327290
7744000,-23.6052207298549916,-24.5680820627759466,-23.9691391057599930
7808000,-13.3283559795350826,-17.0068004911612292,-58.1808920716516553
7872000,-70.6863548171379108,-70.5272112144990899,-72.0573342507287720
7936000,-40.5828295204942009,-35.5518505869791284,-82.7390078967089835
8000000,-60.3486994945929780,-25.2894873930242596,-60.4204689339779435
8064000,-11.5173436236196913,-9.3861011121808140,-6.1445348364638264
8128000,-10.7174025905068238,-13.7319596590989832,-38.2997070431217921
8192000,-13.5036362317001917,18.5156931919645835,-12.3482355643482933
8256000,-12.3134212126926457,28.4715343067777624,-17.1593888135222592
8320000,-45.0044418993693256,-7.1255485141872938,-45.4615115162987280
8384000,-15.8463289417279523,-17.9722052964994354,-42.2079205318113324
8448000,11.7710703777258665,-33.1489535437697924,9.7508208106680208
8512000,-37.7976753637636023,-36.6642946032579431,2.3222758112209547
8576000,26.1788893944091221,-9.0774610235559479,29.4669369288362759
8640000,23.1653325304482500,-15.9170680171599166,24.0258394664639674
8704000,-5.9398987423332592,44.3021687770774193,3.8316223590928153
8768000,2.3770701293780014,52.2845174441272604,50.5519552296365333
8832000,24.8608921563193448,22.2549677149652503,-9.6271842473271967
8896000,42.4679063006725102,-1.5624619684779333,44.0185366299108267
8960000,11.3715356431710113,13.6498078213314358,57.6895353269251743
9024000,15.8480181563782825,50.7598292874813097,49.3888592515649663
9088000,-4.9198231793911731,-3.2355309514180846,41.4206671332826488
9152000,17.0604393977487732,17.7527846984173365,18.6255968077021166
9216000,63.9280918180439954,60.9575018761899372,33.9451546838211442
9280000,19.9059972655412558,56.6348679976874649,56.3987984945770435
9344000,43.6727160171488933,15.0298027963544492,11.1174423205375703
9408000,24.4701686821136875,24.9561857829826543,46.6674885942531645
9472000,62.7738475667997662,64.9879617121379454,60.9107824681685628
9536000,15.8708395679308261,48.8885168667895655,17.6200772296737966
