Step,harvest_original_cbam_baseline - SW_ep_rew_total,harvest_original_cbam_baseline - SW_ep_rew_total__MIN,harvest_original_cbam_baseline - SW_ep_rew_total__MAX
64000,-3745.0236701383137188,-3781.8683431889771782,-3736.6149107744258799
128000,-3746.9727252401280566,-3753.7347805893027726,-3717.3970121666475279
192000,-3357.2129904882040137,-3357.2859212632697563,-3352.0856936482559831
256000,-3228.3754132649223720,-3184.2840852318249745,-3226.1527040034156926
320000,-2913.6953287393180290,-2951.9659376916765723,-2906.5847896816258071
384000,-2353.8069321765610766,-2356.2422032424606186,-2359.9764037763607121
448000,-2313.4208125568234209,-2308.2185367990764462,-2274.2636652075198072
512000,-2613.4700583428111713,-2617.1926419502055978,-2579.5202861502089036
576000,-2792.4366834143384040,-2782.9720966544264229,-2823.1454949900689826
640000,-2920.8129049922413287,-2915.7904396276658190,-2881.7906313277385379
704000,-2440.8914184416717035,-2425.9138722468464948,-2438.7438991232465924
768000,-1982.1936766195658493,-1987.5450678386059735,-1950.1639678762796848
832000,-1904.3841597960361014,-1931.5454315638507978,-1897.0017001452413297
896000,-2164.5382803755082932,-2152.3391869042038707,-2151.0181425646901516
960000,-2277.2421033409814299,-2261.6475180703737351,-2278.0335485276768850
1024000,-2296.9795255246299348,-2288.2047207372138473,-2305.1107193528100652
1088000,-2391.7614659398650474,-2405.3278964459327653,-2355.0330976820382602
1152000,-2225.1959420781140579,-2219.2101066847180846,-2182.4308644839079534
1216000,-1989.8649880938075967,-1951.1509378326163642,-1990.4042031319245325
1280000,-2041.7123162631992273,-2043.6715217701034817,-2043.6160941551327141
1344000,-1756.4038730481181574,-1771.8246388943221064,-1806.9322389330288843
1408000,-1441.2076189657122995,-1434.7119198135785609,-1438.7282122490300935
1472000,-1305.5769378860691177,-1304.5844464534513918,-1293.0012348305028809
1536000,-1398.8861836048408804,-1425.1572704494665231,-1390.3125345420171470
1600000,-1354.2433884870683869,-1368.6904936218065814,-1391.4767386177659318
1664000,-1267.2996066383254856,-1263.3913501279068896,-1304.0343199823380473
1728000,-1324.8234613202896526,-1326.9535921496408264,-1372.4851153270528812
1792000,-1220.8480815734319549,-1205.8677316125372272,-1217.1717696435184735
1856000,-1067.7207606629610837,-1121.4595185153368675,-1077.0409977320368853
1920000,-1091.4101222188312477,-1118.6600878795163680,-1128.7463128571282596
1984000,-1074.4688701571735692,-1124.8709446565669623,-1124.9397601477073749
2048000,-1070.5090680536893615,-1082.8555433316266772,-1125.9160689786747298
2112000,-1141.3760079868275170,-1095.9723993526656614,-1134.5399959079136352
2176000,-1026.4631386815412952,-1067.2628205954551959,-1022.2412116589954394
2240000,-1073.3646742210503362,-1074.7390045468787321,-1078.3559663297223778
2304000,-956.5019783188748761,-964.7518403971170073,-969.6767030477800517
2368000,-895.3425007632495181,-858.2534328680100089,-890.0059112493836437
2432000,-747.7077400283018278,-754.4856225073347105,-791.0240972019465744
2496000,-764.6923302209243047,-753.7946902411119936,-760.2741606150009375
2560000,-703.5812693657145473,-743.9777628318897769,-705.1045611711447236
2624000,-638.6932556757200246,-644.4292122254012156,-635.4033158265657448
2688000,-549.0171428622240910,-500.2885190801563908,-539.0162425802205917
2752000,-424.1013215625620205,-462.5766756952265268,-453.2992955900565448
2816000,-336.3978144115554869,-391.1831471850302933,-382.1159210052196613
2880000,-329.3488187120549355,-330.1694610635278195,-331.7602681446783777
2944000,-254.2101537253909953,-270.0817578677083475,-296.6145241011898293
3008000,-229.7267935784277029,-235.4442104158920017,-235.3862129585700131
3072000,-203.9972242753648857,-236.5867207067680056,-202.3046487775851006
3136000,-259.5577235155382709,-215.2856881610364894,-248.8136585306252755
3200000,-275.7372588333881254,-220.5119280377825817,-266.3188679989960406
3264000,-203.8078959647362183,-248.5372820932130367,-212.4269566441087704
3328000,-248.6283696894268189,-251.3123268917141218,-240.5417340422921200
3392000,-266.7790860058494218,-232.1398700840821618,-271.5784248266311920
3456000,-207.2272229208196848,-183.6216339232277903,-183.3991035282377311
3520000,-148.6108413849627254,-134.1544729072340658,-177.5893686139809517
3584000,-144.8248900688208778,-143.0497281628129258,-143.7455289950430029
3648000,-123.9150446847472722,-125.2193412737268261,-174.1521466924785386
3712000,-155.5281544535286571,-149.2190547020570364,-113.5064825882908934
3776000,-151.5908829775028437,-157.2757143841581637,-122.9617883790996586
3840000,-135.9914719288988749,-142.6077958320315702,-182.1506316609200553
3904000,-166.3008614613176519,-179.5107020672373324,-217.6541627107793033
3968000,-232.7577081369162784,-192.2883867776731392,-183.4955396775819167
4032000,-219.2404242967452319,-177.7022407358091982,-172.2449499282362808
4096000,-255.0242203159816654,-246.7147298904893091,-287.5168614725599809
4160000,-152.0411406076257492,-190.9343800180134281,-197.1359088564228443
4224000,-190.4503877762878687,-183.9262300684884792,-197.2115338242022631
4288000,-200.7689228852563019,-197.2577560337662419,-250.9461789931418139
4352000,-256.3510368330769893,-256.6228660765037830,-283.9333621814772641
4416000,-331.8221117230127106,-286.2478528902131529,-284.2059116241575794
4480000,-241.9142365726930564,-207.2939214003127120,-236.9564735355900211
4544000,-225.0838232712669651,-261.1922002421377442,-257.8092242071267606
4608000,-219.1585972480484941,-216.9365124633088158,-167.2500671118711466
4672000,-188.6738027236276309,-176.4124148494229019,-175.4115875641701905
4736000,-188.5840505652693651,-225.2438878635433923,-186.7408266498292164
4800000,-234.9942679744548855,-224.0203286515579748,-274.8021706258497261
4864000,-196.3165693686525515,-190.2037156320152178,-222.6956203948828659
4928000,-201.4382706660386475,-190.3556099733404494,-198.4684940498973447
4992000,-145.2192189526634536,-148.7139292071849184,-144.0966347661883447
5056000,-141.3285273781978901,-143.0186236201599002,-139.4610231625040910
5120000,-135.3967908734247771,-117.4669671047261374,-116.7732667380638532
5184000,-127.7288058735851166,-95.7606449337941115,-132.4375565877031136
5248000,-155.0699472921381812,-111.2176279596166921,-123.1161119664973000
5312000,-127.2857565395046890,-142.9271191913948940,-98.4715878789915280
5376000,-141.8055706768858784,-168.4829719180772258,-139.9109778905582573
5440000,-167.6420433050744236,-204.9317529145228036,-189.5072297867477573
5504000,-96.3235620123391811,-96.5456263656864024,-75.0950912155376500
5568000,-102.2749170635685090,-101.1592516087653308,-86.6293867746460080
5632000,-125.5533968917350052,-120.0498585343927687,-147.8384925633801572
5696000,-64.3450427035941885,-34.8791379397120025,-66.3920415224468314
5760000,-28.6830318950729222,-68.8458056891496710,-35.7609913464150324
5824000,-1.4334854356500912,5.5786746216799585,4.4494715578129806
5888000,-65.9399260484522500,-35.9409990640688051,-36.0176808131964066
5952000,-43.1949524077903817,-28.4812250318422429,-29.6219593448500049
6016000,-62.0958738213796124,-15.0149184233884512,-50.5038877410178202
6080000,-17.9961127275841051,-65.7438546060777043,-70.1431635972696199
6144000,-8.7676042297655385,-49.7149731738448111,-42.8827152661017692
6208000,-67.9960557500779004,-12.6229980838473743,-66.3094181960172619
6272000,-7.9454911655283880,-65.9381961932658385,-15.7793757738013127
6336000,-22.9698195409526917,-21.8333666860642950,-8.6369004427790070
6400000,57.4481868448718700,49.3246123546834809,52.7315790748003792
6464000,16.1379633482372427,11.8918217514236915,17.6240082610322908
6528000,48.9040436438260855,72.4013514175761088,77.7109346870890363
6592000,47.8903175288595335,92.6791699375675080,43.9907098302470416
6656000,56.9221799656165075,6.4209497613200135,48.4607141311588308
6720000,2.8466294867332493,12.3366494759055350,-3.7810051641331412
