Step,harvest_original_cbam_baseline - SW_ep_rew_total,harvest_original_cbam_baseline - SW_ep_rew_total__MIN,harvest_original_cbam_baseline - SW_ep_rew_total__MAX
64000,-4060.2528406494525370,-4060.2926765335278105,-4060.4758901546615562
128000,-3990.4351742735457265,-3996.9610308514406825,-3965.6828476274949935
192000,-3693.1329066715024965,-3692.6551056639755188,-3692.5253413045825255
256000,-3565.2245076570252422,-3564.4887077845787644,-3586.2451243982782216
320000,-3389.2844395906731734,-3372.9246327525856941,-3374.6276823505527318
384000,-2979.6134252848642063,-2986.2220267007733128,-2983.2099049562666551
448000,-2987.7717352899189791,-2988.8288260061331130,-2986.9562929342860116
512000,-3237.3890669246688958,-3224.8221823687190408,-3225.1488503011200919
576000,-3315.7770489465683568,-3293.4619744512228863,-3315.5640971681682458
640000,-3228.6107540320049338,-3198.7656418913179550,-3200.9446765571237847
704000,-2994.3429722889413824,-2989.5242731590456060,-2991.5573118237930430
768000,-2763.8736471386755511,-2789.7870911532627360,-2785.2916479602345134
832000,-2614.2381882681015668,-2640.1772397632043976,-2639.8180048335448191
896000,-2535.7568153453626110,-2530.4440965706676252,-2535.0994016543459111
960000,-2442.6186193561643449,-2439.8667415937979968,-2445.9074755471915523
1024000,-2492.0420751083388495,-2490.5435908268559615,-2489.8935713799342011
1088000,-2554.0897412220651859,-2556.5497170963553799,-2551.8363792898408065
1152000,-2479.3625066618265009,-2451.6314656120871405,-2476.6785146578708918
1216000,-2249.7061200953107800,-2219.5321847142004117,-2253.2279654119511179
1280000,-2114.9645469626229897,-2104.6428408255578688,-2115.2031069259205651
1344000,-2030.7449114967837431,-2029.8183062328500910,-2014.9923015406286595
1408000,-1919.2988566849301151,-1919.3080614431157755,-1917.7097392849209427
1472000,-1837.7540383423133790,-1853.4072538495395293,-1837.0651003422376562
1536000,-1825.9735489070415042,-1804.0650663831686416,-1806.1580399590236539
1600000,-1835.0803249357079494,-1860.6997525830429367,-1862.3788756140697842
1664000,-1843.5026934127140521,-1842.5408060627569284,-1819.4980711965574756
1728000,-1855.3003807798925209,-1834.4357594290531779,-1833.9068809953284926
1792000,-1695.6570885457554141,-1724.2840250944732361,-1729.3789658972516463
1856000,-1622.9214146969736703,-1641.6275917854970885,-1621.6852310269646296
1920000,-1704.2789084797002488,-1681.6967872606062429,-1709.8854131671143932
1984000,-1771.8675770898473729,-1773.1483008922032241,-1758.8476961783874231
2048000,-1710.9189129415233310,-1702.8475925321474733,-1707.7493718798539248
2112000,-1706.5904569905924291,-1679.4700458608147073,-1707.4885061313118513
2176000,-1596.7296101132135391,-1594.6461815463176208,-1594.7705908721754895
2240000,-1450.2142358543758291,-1451.4683474425773966,-1452.4425571823826431
2304000,-1375.5054257513568245,-1355.6437431411518446,-1371.8221239732367849
2368000,-1309.7708645539244117,-1281.7510983846993895,-1312.4531924825507758
2432000,-1144.0668657521982823,-1169.5174952113868585,-1143.6008954342169091
2496000,-1142.0213762338680681,-1141.3757548779976787,-1178.9305547620508605
2560000,-1163.2243424347361724,-1163.5331820052874718,-1148.4570375617529407
2624000,-1076.3610514959461852,-1097.5752911671711445,-1076.5021274201078541
2688000,-1016.8311839790525255,-1043.6335477329068908,-1015.2522493468203493
2752000,-953.2944923581262628,-952.5694100248949781,-957.0650524220295665
2816000,-913.7396433546711023,-920.0788646587888024,-890.7010676961594982
2880000,-832.5188308507805459,-833.1256154834619565,-813.4200985353903661
2944000,-789.1916143750636365,-810.8055303842130570,-790.9635651284421556
3008000,-766.3538767914177470,-767.5495396025285118,-767.4688113635792206
3072000,-721.7006579269637996,-750.0756179880117998,-722.5656366161922506
3136000,-684.0514185444546911,-707.5700561267633475,-707.3854730733974066
3200000,-659.7496532087494643,-643.4640780303836891,-645.6526189776187721
3264000,-625.7889168365990145,-635.7350073956773713,-625.6025513924942061
3328000,-633.4910305400472907,-649.0372107614100514,-655.8191818946957028
