Step,harvest_original_cbam_baseline - SW_ep_rew_total,harvest_original_cbam_baseline - SW_ep_rew_total__MIN,harvest_original_cbam_baseline - SW_ep_rew_total__MAX
64000,-4055.8342218920129199,-4055.8089984397861372,-4078.5355103056031112
128000,-3998.4788009120488823,-3996.8147256949314396,-3961.5076352259070518
192000,-3687.5646016994955971,-3686.8553804763337212,-3670.8519967983515926
256000,-3589.9513516978677217,-3563.2833964340857165,-3562.3381250493271182
320000,-3366.6503786334942561,-3371.9865758084229128,-3391.1525808425171817
384000,-3011.1686011924275590,-3009.1127816133503075,-2986.5732279978906263
448000,-2986.2787502570440665,-2986.3264426316350182,-2963.5795002715440205
512000,-3242.2910380718653869,-3243.1032825474908350,-3220.2048767880260129
576000,-3314.1854802888801714,-3313.2421851400426931,-3316.8182353597312613
640000,-3226.0485117648918276,-3225.3042219470644341,-3204.0781849815916758
704000,-2966.5027351701346561,-2991.7360603362785696,-2960.9733716740947784
768000,-2785.3138437603392958,-2768.2162027004696938,-2785.5679415021286331
832000,-2634.5633485160601595,-2634.8436178735241811,-2617.3056520412283135
896000,-2507.3034536014479272,-2507.1249347881189351,-2529.7939481091289053
960000,-2444.0532938043384092,-2469.9059588610189167,-2443.7850928730840678
1024000,-2496.7914263927264074,-2492.8409428766162819,-2493.3598936378552935
1088000,-2546.0116359436178755,-2546.4689461118191502,-2544.2272266988929914
1152000,-2457.5698584657402535,-2457.0956407915969066,-2457.1093086230162044
1216000,-2221.4927118794785201,-2222.0509224464781255,-2253.7352061252904605
1280000,-2104.0947504544178628,-2115.8992478764607768,-2116.2795782785033225
1344000,-2037.3383304231222155,-2005.4285939081562447,-2035.8476654002049600
1408000,-1918.2952910251201502,-1946.7943313416351430,-1951.0505401850875842
1472000,-1830.2730652800582902,-1857.3897148025787374,-1863.8229977415894609
1536000,-1831.9291825177090232,-1821.7459635080479075,-1821.9809018916373589
1600000,-1855.5381151491492346,-1857.5188673476689019,-1859.8645301825315528
1664000,-1820.0299048335255065,-1842.6646329782556677,-1820.0112306843122951
1728000,-1859.6972737996329670,-1861.5167789629849722,-1860.5597539138450429
1792000,-1702.3202590601522388,-1717.6872024570704980,-1697.5676879556715448
1856000,-1613.1394037076606764,-1611.5229680480981642,-1644.8827111205571327
1920000,-1674.8096150441228929,-1710.3602512507936808,-1679.1461955080890220
1984000,-1774.9302977064064635,-1770.2942091747625000,-1775.2224178252529327
2048000,-1736.4542909465358207,-1731.7116933387962945,-1730.7528248382955098
2112000,-1685.8747611739502190,-1686.1979134229470674,-1701.0240982016755424
2176000,-1617.5671342030123014,-1618.0547760459971869,-1600.7150918118641130
2240000,-1445.9193118072280413,-1444.8585279268952490,-1474.9474466208487229
2304000,-1374.5964034907208315,-1352.6788839928337893,-1374.2694126359324400
2368000,-1301.6717112707813158,-1282.3628567042489976,-1303.3113631146882199
2432000,-1143.5984985343811786,-1138.0944128741923578,-1163.9534773781540480
2496000,-1142.7174111104804979,-1142.5445337068420031,-1180.2227846908351694
2560000,-1167.1455547004054552,-1145.3578024742657817,-1167.1491401023961316
2624000,-1099.2234172101077547,-1073.7681007442431564,-1073.7752401866705441
2688000,-1042.1734174017888108,-1044.2825970870142100,-1039.7398721998222300
2752000,-956.9459556127155793,-957.6582432141583467,-933.3842685270320771
2816000,-890.9707572949758969,-915.8031637742199109,-918.7710614392151456
2880000,-812.5840054118948501,-830.4281141041045657,-836.0710240261626041
2944000,-813.0433216584290221,-792.3760311521162976,-792.5711299480497019
3008000,-771.8887343800120107,-783.5499915954255812,-784.3722810024411274
3072000,-744.8979868069269514,-719.5096351434722237,-720.5603614827231240
3136000,-683.1992460098265383,-710.7798344505555406,-707.4747131967189944
3200000,-646.9384410192029691,-657.1513984553582759,-646.9385289650622326
3264000,-613.5559095355273485,-616.5700672431022440,-616.3355199036133172
3328000,-625.0027431693872586,-630.5680620132460490,-655.4021018570387014
3392000,-634.3124403530986228,-656.8279773005563129,-658.3566662113753409
3456000,-599.6451711135795222,-622.0798967770818990,-629.2370001334452354
3520000,-567.7889445030506295,-562.3022436921155531,-589.7117237070652891
3584000,-491.6990277794560598,-517.5319945779539239,-494.4529022377893170
3648000,-497.8838847875144893,-475.5645149105743599,-475.1460090172382706
3712000,-469.7896572643001036,-468.1412041605352101,-454.3792125383605480
3776000,-450.3220937046317545,-432.2576184637264873,-425.8465541817364510
3840000,-420.2719952219557626,-421.0571497730256851,-422.1893912388002263
3904000,-401.3773018356716875,-415.1952948152890031,-415.0428910648829515
3968000,-380.3554245749428446,-384.2847048544784343,-407.4705971241484690
4032000,-383.7995970795246308,-367.9108161690986094,-389.3053070550676580
4096000,-392.6929055610958699,-364.3221006588842101,-367.1524211982701331
4160000,-320.1745908596951153,-321.2294945237927095,-316.7039498941139755
4224000,-284.8448714713734375,-323.7260758466123889,-288.0291615607197855
4288000,-284.7406970165822031,-316.7247786585283507,-285.2515507054444015
4352000,-326.0400005352676089,-324.1492154573649600,-297.9497935612819788
4416000,-336.8092708194598686,-337.8237870986504277,-337.0740204353713239
4480000,-303.9675074596232776,-299.7756397642834827,-272.5173320207027245
4544000,-303.6884593648407531,-308.0465292535868116,-288.4402317566721194
4608000,-269.4236266715481065,-246.2467809820710727,-246.3330927690056171
4672000,-269.6944588233819218,-269.5185237369984748,-270.9921812679114055
4736000,-250.8384688879787632,-230.6163928449520313,-229.8025693678754067
4800000,-252.9873015525231210,-252.9618447340773741,-252.9611859430638390
4864000,-212.8562087962861256,-214.5218166820096428,-210.8858742929316747
4928000,-195.5543343412805370,-218.3403304555786804,-212.4786894944760718
4992000,-163.9057228041898213,-196.5048547767005402,-165.0867168685483364
5056000,-244.4772944715214180,-244.5884676184778925,-219.7376541978606213
5120000,-212.4602006937992087,-191.6387489448757151,-210.3777528400770507
5184000,-225.6347175266819818,-200.7937257639572692,-198.8403605982882141
5248000,-251.4714340768263412,-223.2203306133858689,-249.3579986955665504
5312000,-205.3365894783654539,-183.2707920402087893,-209.2597940992380359
5376000,-184.5973030656581386,-187.4554989279385495,-185.7210900337816781
5440000,-217.4418704105561631,-218.1189961351205113,-193.1312242641766375
5504000,-140.2730741276406548,-138.5447225880308508,-160.6071307190416917
5568000,-162.8607603773545236,-167.4678649927870993,-151.9225988760009329
5632000,-167.1004493813960892,-166.4987543779774626,-188.7131912201027149
5696000,-161.1772396648463825,-161.5219974154857141,-138.5629637033677284
5760000,-136.7469158350556029,-137.0815917448517212,-138.8940729760720103
5824000,-111.0647062782264669,-123.6593063099435312,-110.1151455296478900
5888000,-134.1178270986842165,-115.8996414195292743,-134.9164871846624294
5952000,-138.6225359236881332,-138.2964895681900259,-120.6476881317467473
6016000,-110.9345349684095510,-127.6624952699002478,-110.9046017995237889
6080000,-105.8339018863351981,-101.2486196567791126,-104.7687236435700413
6144000,-111.3372107681336161,-108.0057070776637715,-111.3006141264606157
6208000,-135.6495662058500500,-118.5240315268385700,-135.1621018586170067
6272000,-127.1521206718537798,-127.5676277739365503,-104.9605519134450446
6336000,-65.7885774830989192,-95.0148246681618218,-69.3099664336366601
6400000,-80.0780263160379491,-50.4835556805651464,-50.9097890169564309
6464000,-47.0036592966043472,-45.4967500012496515,-48.2862026169665555
6528000,-27.3258554724969969,-61.6138942540117753,-60.7030854935053767
6592000,-52.0470322760245523,-56.4136510899590178,-53.8107163735569216
6656000,-65.5660528280074857,-64.8907747622506292,-65.3828161918809911
6720000,-61.2978894534725285,-61.2475765522846771,-49.4655358433845223
6784000,-33.8872581379842757,-55.4122755989500533,-34.2305452028621744
6848000,-51.8845703693703157,-49.3973427097471642,-18.9664776760487364
