Step,cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MAX
64000,-13718.7846303237220127,-13759.9972278991772328,-13756.5801154612727260
128000,-13958.7279782387231535,-13955.2573043305619649,-13990.1733684741357138
192000,-13801.0671021271973586,-13762.9931294397047168,-13757.7491195103484642
256000,-14028.4871567767513625,-14089.1354263526227442,-14014.3111724092141230
320000,-14363.8658848756604129,-14359.8608885536068556,-14395.7472144303919777
384000,-14767.4344091079583450,-14724.4516380172044592,-14724.9985208388479805
448000,-14612.1961327526823879,-14605.3414428370615497,-14557.5659544831105450
512000,-12863.9615546635086503,-12922.1890903684743535,-12898.8497896203389246
576000,-11780.0957986277790042,-11784.3948443260887871,-11783.2425086179464415
640000,-10723.1304587647045992,-10731.7999962558333209,-10723.6410180647453672
704000,-10051.4209949369233073,-9987.7291120862228126,-10058.5988978671721270
768000,-9237.1191209692624398,-9224.4755583841051703,-9311.5633681501076353
832000,-9401.4942836993086530,-9401.7226562985943019,-9437.9449711027482408
896000,-9344.2373428004193556,-9345.4928366400181403,-9385.8911854669204331
960000,-8832.2399315424845554,-8851.9004034349200083,-8809.8881027777260897
1024000,-8650.0721196631639032,-8656.9805449034211051,-8656.6681184554909123
1088000,-8268.1932531114580343,-8320.5126124811777117,-8273.0217021406060667
1152000,-7535.1619672680253643,-7532.7654012452057941,-7530.1115055405562089
1216000,-7599.0659556912414700,-7546.6646806919316077,-7599.2963455026238080
1280000,-8100.5261950952008192,-8029.3277024973021980,-8025.8205670290517446
1344000,-7917.7433556339974530,-7901.0866833017489625,-7923.8085001858071337
1408000,-8000.0193334878558744,-7990.1486152314810170,-8003.0205843812927924
1472000,-7989.4864358657423509,-7914.4777165748591869,-7914.0003755131892831
1536000,-8257.8433841958158155,-8318.5694088810159883,-8253.2900581379763025
1600000,-8163.8923462283983099,-8085.1322456557245459,-8086.9247017369998503
1664000,-7618.0224776398890754,-7618.5107685244965978,-7585.9251474303591749
1728000,-7269.1161914936265021,-7273.2594096662605807,-7198.9873027152798386
1792000,-7501.1335737365943714,-7513.0841786142900673,-7500.4194524820795777
1856000,-7671.3000808653123386,-7613.1235577658708280,-7631.1613320749056584
1920000,-7231.6469983232391314,-7270.2590085436931986,-7234.9760573193580058
1984000,-7455.0520204596477924,-7465.6379414323391757,-7431.4279553099531768
2048000,-7806.4933931952327839,-7802.2881197831693498,-7795.7610379530360660
2112000,-7421.4917615112508429,-7487.0917864502844168,-7498.6618584428697432
2176000,-7628.1372977382625322,-7627.9802142868647934,-7687.0227097678989594
2240000,-7781.5033189199048138,-7723.9401681147637646,-7790.1397215554488866
2304000,-7178.8489019838370950,-7188.0760576284528724,-7149.2716694614528024
2368000,-6926.0385669225124730,-6925.6136204137374079,-6925.9202508743601356
2432000,-7176.5857011168745885,-7170.2361324609937583,-7172.4612644266344432
2496000,-7138.2607733092936542,-7138.9525187613198796,-7134.9825056399613459
2560000,-6823.1944081296760487,-6869.8003571506460503,-6877.3920907409001302
2624000,-6659.0923758020235255,-6611.3489402700333812,-6665.2785253146575997
2688000,-6623.9475097409249429,-6611.4732571951044520,-6560.8476589004294510
2752000,-6470.4307340357554494,-6486.3423640210676240,-6418.4867870140051309
2816000,-6218.4822235734027345,-6236.7685716298392435,-6142.5150057472746994
2880000,-6643.3876970854789761,-6642.0450263011125571,-6641.2290458001643856
2944000,-7174.9341026319088996,-7199.7478920320309044,-7180.7005474062098074
3008000,-7141.4951189546363821,-7142.6448195428465624,-7081.1931205954188044
3072000,-7089.7432918785552829,-7078.3491671537949514,-7129.6314023761533463
3136000,-6989.0655767933158131,-7047.2263135949242496,-7048.0637407236936269
3200000,-6784.4382244200714922,-6785.0835484830458881,-6786.5748531721892505
3264000,-7020.1892470432394475,-7086.5095798119091342,-7019.0172424727215912
3328000,-7467.4738768912693558,-7420.8576717617779650,-7467.9711563792097877
3392000,-6915.7442354783461269,-6979.6582030243880581,-6917.4134235252249709
3456000,-6561.9983823548618602,-6605.6422405173807419,-6606.2396296749939211
3520000,-6483.4480030327031272,-6526.9906052092219397,-6519.2300565710384035
3584000,-5792.0656960296382749,-5738.7437415975355179,-5738.2747580925688453
3648000,-5618.5303315935852879,-5692.0418662786223649,-5693.3264989170747867
3712000,-5665.2707157817676489,-5672.2331958401728116,-5703.4617367699001989
3776000,-5640.7903586768843525,-5641.8329211802301870,-5641.3847813675583893
3840000,-5295.0666584122382119,-5295.0621731099809040,-5295.2403873463335913
3904000,-4953.4042258789913831,-4892.3627892148633691,-4896.9580598000384271
3968000,-4865.0582739873379978,-4859.0538270693068625,-4852.7165680249217985
4032000,-4980.6710789928074519,-4977.0663943605604800,-4983.7402565501406571
4096000,-4845.5296427220509941,-4861.2040361062618103,-4793.9811457937121304
4160000,-4582.1329536761786585,-4590.4555877571056044,-4642.2846911239503243
