Step,cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MAX
64000,-13715.5150557582692272,-13760.3030349940472661,-13766.1013367245068366
128000,-14003.8708523015011451,-14001.5611803697738651,-13948.3270344795782876
192000,-13803.9933692289032479,-13808.1224532404139609,-13805.6617039994234801
256000,-14078.3304948128206888,-14090.0150381505773112,-14027.6009631264514610
320000,-14406.4445521001507586,-14345.7588333021540166,-14349.5254873934845818
384000,-14721.2793483196837769,-14776.1404567422123364,-14720.3256588178428501
448000,-14557.3833447919369064,-14540.8244966090151138,-14612.0973377256941603
512000,-12882.4642255569160625,-12937.0612281425328547,-12934.5058103000792471
576000,-11782.2874186461085628,-11788.7437718124710955,-11794.2147676789263642
640000,-10737.4376368796274619,-10761.3718389806163032,-10750.6245134520559077
704000,-10004.3767908733570948,-10005.4625173847471160,-10015.3910615426157165
768000,-9277.4280189128512575,-9251.0235992882444407,-9252.6488425094285049
832000,-9411.6446339625454129,-9412.8699529288896883,-9428.3725434021325782
896000,-9353.6783550725667737,-9378.1539066753284715,-9381.3281910685018374
960000,-8830.7319096980736504,-8813.5383892576046492,-8806.7566315399853920
1024000,-8704.3304430372700153,-8669.7061498864986788,-8709.3564914990583929
1088000,-8286.1628074513773754,-8273.6292826993794733,-8331.7679713085472031
1152000,-7457.3739495953332153,-7464.8321148626491777,-7532.1118261127185178
1216000,-7539.6905700588604304,-7538.6673190287901889,-7543.4515736981302325
1280000,-8044.6349278675288588,-8038.1468284765433054,-8042.5975796130842355
1344000,-7910.1389363086072990,-7847.9345712057447599,-7849.2726530139552779
1408000,-7930.3773763278768456,-7935.6201271070285657,-7935.3911164936889691
1472000,-7909.9311637713435630,-7976.0629920638248223,-7905.7265202443722956
1536000,-8297.3498008836850204,-8296.9753794208572799,-8268.4383108781821647
1600000,-8137.0817556522688392,-8137.1530927848052670,-8134.0712934114808377
1664000,-7584.5117933155206629,-7616.1014458133377047,-7619.3403703313624646
1728000,-7264.5083481390638553,-7197.9049610428810411,-7263.3880822960436490
1792000,-7522.0010390894967713,-7534.1200903338076387,-7521.2891680254942912
1856000,-7651.9527529273836990,-7628.7362387816174305,-7625.6908132326052510
1920000,-7244.2599779687707269,-7244.3637125546702009,-7244.2550468366252971
1984000,-7454.7436086969728422,-7454.6827639329085287,-7454.8254589190491970
2048000,-7843.2629139058299188,-7843.5280605401103458,-7806.3600927780989878
2112000,-7432.7727124615876164,-7426.7969512599038353,-7482.7894052111787460
2176000,-7681.8942036314629149,-7617.6459233341192885,-7620.4306294029711353
2240000,-7786.9728081120483694,-7725.0834238759316577,-7732.9583605621564857
2304000,-7177.5246908703256850,-7180.3904772202886306,-7159.3607444892286367
2368000,-6955.8230579225873953,-6955.2633240886098065,-6961.4098921920021894
2432000,-7154.1485872798693890,-7150.4531043651168147,-7179.4675732477917336
2496000,-7123.8593530981797812,-7184.7876100124694858,-7120.3470207904283598
2560000,-6860.0532240985021417,-6860.2825143099871639,-6861.5307612324086222
2624000,-6663.7290906382440880,-6602.0099176181638541,-6603.3018692771511269
2688000,-6543.1798870917373279,-6546.4097264919173540,-6575.6109565325068615
