Step,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MAX
64000,-4394.2181473767423086,-4392.4775289136077845,-4357.8571287846962150
128000,-4239.8253636921690486,-4213.2118768403861395,-4212.9697542403582702
192000,-4013.7915955873818348,-4007.2383331499790984,-4014.6657679770046343
256000,-3956.5353234215253906,-3928.0691856856115010,-3956.8777911183456126
320000,-3802.6827412717270818,-3813.0029498384656108,-3874.5701577734721468
384000,-3582.8225203846868681,-3641.8731165583299116,-3660.4322976221224053
448000,-3635.4745125965268926,-3617.3010836715661753,-3628.8803681790127484
512000,-3895.8945718299382861,-3826.1000672229979500,-3842.4726391199624231
576000,-3822.7264562495447535,-3779.0874355327591729,-3828.5684073518687001
640000,-3508.9963109780983359,-3564.0152582671930759,-3559.7334029112007556
704000,-3560.4758011958651878,-3555.3698617939221549,-3516.6708743436661280
768000,-3618.8094193807664851,-3605.5319227473305546,-3560.4247802668719487
832000,-3324.4244112740216224,-3300.2143668303201594,-3315.5594011040393525
896000,-2894.9883995632458209,-2886.4271656502100996,-2891.9665824291282661
960000,-2640.3156522858434982,-2653.5636201870079276,-2593.2449112441445322
1024000,-2702.0996251216715791,-2702.7551295631437824,-2673.1758818678858916
1088000,-2674.3496995152399904,-2740.1889137226485218,-2659.5701737151975976
1152000,-2708.5294002670393638,-2763.7290476688222043,-2704.1187331343185178
1216000,-2491.0511269814987827,-2521.1482529316463115,-2524.1289664541041020
1280000,-2183.3719756732220958,-2188.2363279321048140,-2225.2691510337281215
1344000,-2290.8322542773453279,-2228.2815972495718597,-2300.6260967812881972
1408000,-2423.4833252035236910,-2409.6961999017221387,-2407.3078165344340960
1472000,-2339.1419579601647456,-2336.8133447087393506,-2403.7266890042278646
1536000,-2236.8279292905813236,-2235.7471275346870243,-2249.1922240339049495
1600000,-2287.8618317654209022,-2336.6634827202155975,-2287.6602936926879011
1664000,-2408.6895964239565728,-2403.0788463433864308,-2337.4498332505995677
1728000,-2329.7108517002047847,-2326.0873950737864106,-2357.1404877035402023
1792000,-2202.6598330863930641,-2256.9378211537868992,-2253.5801822991602421
1856000,-2190.2928471664081371,-2149.9590997987361334,-2149.5797016482260915
1920000,-2266.5309648399488651,-2289.4156439869348105,-2273.3635358462902332
1984000,-2453.5226810074541390,-2412.8797332127887785,-2415.7043842520938597
2048000,-2353.8447620297715730,-2308.3430937037701369,-2321.2180519153089335
2112000,-2313.4538667079609695,-2314.8754850831360272,-2239.1609553779330781
2176000,-2147.5302921582569979,-2214.2458685591273024,-2144.7623545338719850
2240000,-1897.4457716151759996,-1890.2676173463325995,-1890.5197475455554468
2304000,-1715.5930762050804788,-1713.8567711804951159,-1783.4095157386088886
2368000,-1685.6492466445033642,-1733.0423262494859955,-1731.1785806403433980
2432000,-1512.8902090503108866,-1559.6726888496966694,-1520.8506392509693796
2496000,-1518.5732266471779894,-1525.2756937665872101,-1516.4472517372271341
2560000,-1594.2638101947343330,-1574.4092623638991881,-1574.5060064874305681
2624000,-1572.8707290632532931,-1586.0678857072773553,-1529.5506259290639264
2688000,-1526.7345579249654293,-1524.9878464118919510,-1517.1777562828549435
2752000,-1477.3690485861563957,-1474.1144657488737266,-1474.8379468928301321
2816000,-1461.0643660107850792,-1460.4136351060290053,-1462.4216520031507116
2880000,-1297.0959381372740609,-1299.1732388102384448,-1353.6181996768389126
2944000,-1340.8792602160872320,-1311.1288126009317239,-1309.3225359578207190
3008000,-1295.2173150299418012,-1294.5491844693660823,-1293.6698625271019409
3072000,-1264.3184024618178682,-1232.7944959948727046,-1268.1134791696101729
3136000,-1138.2173698405217692,-1132.9742856309669605,-1190.1970982016671314
3200000,-1044.1269416774573529,-1041.9012289178112951,-1088.6203079332817651
3264000,-1009.3691841022666722,-1063.6697589656591845,-1012.9459777560593920
3328000,-1011.4760494374620521,-1008.7694383026532705,-1053.7669278788507654
3392000,-1062.5101500671589747,-1014.2119223206481138,-1056.6209330066039911
3456000,-1000.9131215110569428,-996.7221602629761037,-1060.8094888302384788
3520000,-962.9830467794448623,-952.7459412640343999,-962.9308356624396765
3584000,-866.3270545647721974,-813.4117034989388912,-793.8868627902836579
3648000,-834.6358139864582881,-807.9072718254550409,-805.4886199641806570
3712000,-810.2516862137297267,-811.1192380921633003,-808.3917905868956950
3776000,-740.5103704520096244,-721.4749651333995644,-768.6394428405432109
3840000,-640.7504466181530915,-648.3324236983135052,-636.6420787977433520
3904000,-602.1315250222108943,-670.0896491487442290,-609.3890121855022244
3968000,-588.2249878044758589,-587.2589429758492088,-586.4962485686521632
4032000,-585.9424520188531460,-583.6289736262954193,-585.6604319944424333
4096000,-476.8404739867991680,-502.7536895970923752,-485.7931039270841893
4160000,-496.9488411887562052,-509.7437802348692912,-498.0283360224312901
4224000,-460.3723635118975039,-457.8369623269755948,-466.3254432805669012
4288000,-393.8829021012655858,-349.6198755342115874,-347.7189067947575722
4352000,-369.6646127139334794,-369.1215058894895265,-371.7962239669409428
4416000,-357.7332891128427264,-356.9151953591921256,-414.0954242419116440
4480000,-317.6408696504196314,-320.6346266643877243,-379.5015293805217880
4544000,-382.4937686566441926,-323.5238738504544926,-382.9855844776168965
4608000,-347.5443018307324792,-310.3855402053226271,-304.4110035938974761
4672000,-331.1343405502740893,-331.0868144671864002,-300.9774780681553921
4736000,-250.2150746678482562,-244.8383150114699447,-278.5897484308384264
4800000,-249.3328619358003948,-217.7527704778906639,-221.0947056619891100
4864000,-192.7921946697704811,-205.7412694075648290,-257.2536031783735098
4928000,-227.8612888242940926,-243.0081388064937755,-205.9180777234791719
4992000,-211.8460940530317771,-215.2742822866439951,-231.8448711654679926
5056000,-260.0230906293773501,-325.6667490688699331,-265.9730303964561244
5120000,-290.1274380299168456,-308.0759640701815556,-307.5020739365918985
5184000,-294.8136500483188911,-281.0404683567322195,-341.0679015362561017
