Step,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_baseline - SW_ep_rew_total__MAX
64000,-4360.4393102156363966,-4361.3606926805859985,-4360.3999368372560639
128000,-4251.2324828878336120,-4200.6412303105735191,-4201.5668206920163357
192000,-4034.2216484937903260,-4013.1757149974864660,-4012.2398717246942397
256000,-3956.4620013445669429,-3957.4784816408068764,-3920.3407446064657051
320000,-3809.0298491692110474,-3869.6622246136112153,-3869.5855214076350421
384000,-3648.8540611184766931,-3580.6787908601904746,-3662.3998512451089482
448000,-3630.1753572410739253,-3679.8704694383932292,-3676.2488357108072705
512000,-3873.8920980664270246,-3851.3628103117971477,-3852.9448098288512483
576000,-3761.0195511415276997,-3840.3434847492594599,-3829.8267443511076635
640000,-3514.7733130272708877,-3517.2306483037714315,-3520.0107951090949427
704000,-3568.5447584630496749,-3566.5365767925363798,-3567.1203297067713720
768000,-3616.2657462103143189,-3611.1611385690321185,-3601.5631428070728361
832000,-3354.5190137916033564,-3318.1677526552621202,-3358.3335340855928735
896000,-2876.7897576431223570,-2914.6960122374757702,-2885.9378904377954314
960000,-2592.6124732489529379,-2587.9133215776555517,-2653.2491491881714865
1024000,-2703.2606754020644075,-2705.2253183560328580,-2704.4979237186284990
1088000,-2706.5582792661939493,-2713.5474204049710352,-2675.6031499356472523
1152000,-2772.5361683475357495,-2749.1964147942398995,-2701.9847831608863089
1216000,-2515.3864748655578296,-2502.7091507670761530,-2519.7476807481302785
1280000,-2181.1452518306628008,-2229.6973238815467084,-2242.7578421041207548
1344000,-2284.8178651341177101,-2240.6198010125340261,-2294.6359189050563145
1408000,-2412.1730129150269022,-2455.1311118637827349,-2398.8467235049552073
1472000,-2325.9688580606489268,-2410.2617194451431715,-2390.1365594080725714
1536000,-2196.4416464401424491,-2239.5846749456800353,-2206.3504517014430348
1600000,-2297.2622159801103408,-2341.6143221023453407,-2297.8612545299006342
1664000,-2373.2249582076651677,-2375.0552830799156254,-2365.8292797977906048
1728000,-2351.2061942884320160,-2352.8721743916098603,-2369.3688419512413930
1792000,-2219.2674733053240743,-2204.6330736433724269,-2206.9795051914220494
1856000,-2147.8840502121738609,-2194.0884856815141575,-2147.1787216674206320
1920000,-2262.4139798238961703,-2291.7707269116567659,-2293.6033443379992605
1984000,-2405.2705781484150975,-2468.6376717881794320,-2458.0902152797775670
2048000,-2305.9891285591270389,-2295.0325604304471199,-2301.1308864436646218
2112000,-2259.0673349038688684,-2245.8073586007935774,-2290.1247317713173288
2176000,-2166.1663678343365973,-2154.6718938571407307,-2199.6701750992087909
2240000,-1876.4413734893942092,-1877.2000059598560711,-1847.7608082263716369
2304000,-1706.8304135778864747,-1771.6102507262594372,-1724.0136695727430833
2368000,-1674.8178444879777089,-1679.5626820092154503,-1716.3184868947394079
2432000,-1504.3105362821524977,-1552.3597785825043047,-1520.5325623541225468
2496000,-1518.8042353352852842,-1565.2370199281708665,-1577.8334703278703728
2560000,-1608.1725403196380739,-1610.3166950229124268,-1599.6059942568847418
2624000,-1537.4203673832018922,-1535.3056354202053626,-1522.0793914702801430
2688000,-1547.9405169076369475,-1549.8808082369064323,-1522.6832352646267736
2752000,-1432.3128331875388994,-1466.3712054929828810,-1466.2953511106320548
2816000,-1468.2626376221594455,-1422.3799565166339107,-1417.3787158366408221
2880000,-1347.6505185177225030,-1312.6970187874615021,-1312.7341177769444585
2944000,-1355.7043857666242275,-1280.4633839451248605,-1279.6016094813599011
3008000,-1288.9630871708823179,-1316.4791910373633073,-1326.1162308753816887
3072000,-1258.7678852831288623,-1255.8741022054516634,-1258.6725622892290630
3136000,-1180.3185429006327922,-1187.0757628336043581,-1126.6066504014584098
3200000,-1036.2546480660273573,-1083.3079846463665490,-1044.4725604414800273
3264000,-1021.2109307748221454,-999.8984566168389847,-1021.5140741795042914
3328000,-986.1724678287115466,-1054.0024638495178806,-996.5978177679761529
3392000,-1022.2209036023253930,-1023.3180413142154066,-1017.6874540697749580
3456000,-1056.4539807932594613,-1002.5768977050350941,-999.6212885823692886
3520000,-974.9506708659860124,-1003.5827705502721301,-974.2459844283467874
3584000,-815.8880573498175863,-806.0418113103469295,-870.5237851654262613
3648000,-853.4170122780144538,-773.5474709750475313,-799.4014368487836464
3712000,-777.9465128265283056,-806.8715427492510344,-784.3051505603717715
3776000,-779.7924336081382535,-727.6466931075658522,-780.2955458766055017
3840000,-663.8685610534668058,-666.7549483660239957,-676.0607768571018141
3904000,-651.9450691073008102,-597.8887000295728740,-649.7876051012475500
3968000,-575.5893866392945029,-576.5250996720697003,-594.1022193093793931
4032000,-590.5914937322240803,-517.0662703669190705,-595.0738931175033031
4096000,-510.9482129201356315,-510.8262832969176088,-511.0355152661194325
4160000,-525.7363548057738853,-480.5560245454558412,-500.9203006453809053
4224000,-422.8657962526312417,-422.8668478274059339,-422.8674465721963429
4288000,-402.8017523964000475,-351.0020426030638987,-400.6847569956355528
4352000,-342.2311675232054426,-369.5054665973576107,-332.4748072033034987
4416000,-404.2268452643068031,-365.7660167257986359,-404.2137531453071801
4480000,-336.0995008920461373,-336.6290432520672766,-372.1760794756256701
4544000,-302.7128848622881492,-386.8026834601572546,-306.0963383314696102
4608000,-336.7034487075799802,-338.4958146922996889,-337.4617424666873831
4672000,-333.5837775967673906,-300.6676352646940700,-310.9846484459682188
4736000,-304.8006905732260066,-301.8464237308955944,-229.8587098705967264
4800000,-264.3687921579301019,-258.4844063504221481,-264.7239778799447549
4864000,-271.2783790808505273,-198.4400265628336797,-215.4752697572310467
4928000,-219.9665781673063805,-224.8088658367420862,-225.1147886792304291
4992000,-207.3919109616840615,-252.7690986860686166,-208.7246029224108668
5056000,-256.9469484719206775,-344.1098083675909720,-284.2647833974994569
5120000,-258.6815476882762255,-287.1186186246790726,-283.4598298779170022
5184000,-290.0280319415749659,-330.9444466630581019,-335.3679904900235442
5248000,-314.3592731155104048,-314.3293049985726384,-349.7547293395391534
5312000,-243.6470459452677346,-295.3138882373047522,-292.2691632885731110
5376000,-210.1829539631254988,-274.2148748958279612,-222.0802869510790742
5440000,-242.9507320610717329,-258.4424400059218669,-210.6761329229021840
5504000,-192.8150376938767749,-241.2749779458259241,-242.5955727181437283
5568000,-180.5991344431246830,-186.1334153689632842,-211.8886971309237026
5632000,-207.0695987649831693,-206.4294029313755061,-228.3885549781860220
5696000,-254.3065838720810632,-253.4588633842236618,-254.4189150788949405
5760000,-272.5087617652298491,-226.9237057307732357,-266.4562728424508578
5824000,-236.2011294318621424,-235.3690957232620633,-241.0190824241408336
5888000,-202.8875791761052199,-212.4270197440856691,-210.2845287376818249
5952000,-230.8218271016832546,-234.9039220124047063,-233.7518193707996659
6016000,-209.6122091311839029,-202.1530320260273470,-209.6506257005798091
6080000,-167.3393933088836434,-223.6774696328067478,-161.6423744866098673
6144000,-231.6519810200890390,-192.8835220114013964,-214.9212898361426767
6208000,-195.6584613439224256,-232.6175649222176958,-236.7383386581965965
6272000,-207.9651549838935409,-181.1228646388266270,-182.3173736296066068
6336000,-137.0141924715217385,-188.6883745774856038,-186.5921135931471611
6400000,-131.4155648652917137,-137.2057702192626039,-130.1206259145008062
6464000,-137.9863742478586914,-167.6702087922542432,-137.3426513781965923
6528000,-175.5093715224793129,-173.9754648152478467,-121.8328891209248752
6592000,-166.8421446793108203,-133.0368661577865339,-164.5843824084345783
6656000,-159.7506794124968224,-120.6743109933157285,-117.0043396318193913
6720000,-128.6393099100292829,-147.9017984788851265,-143.1946793295865632
6784000,-140.4462497349990997,-119.8540250586658971,-141.7101895899988904
6848000,-90.3220396889351775,-154.6198584960314122,-156.5211563610936878
6912000,-139.8767183920540731,-120.4270959500892957,-123.8354921268639259
6976000,-138.0515140234273872,-130.4975013103826598,-137.4394109392314363
7040000,-94.5145316319628961,-132.8392574234699737,-134.0245593305465093
7104000,-103.4945109250976998,-86.3812863821316483,-103.8246224561174813
7168000,-88.8786270444083613,-73.2539288639466690,-126.3718888026906484
7232000,-71.0559998907073833,-69.9411015532127749,-118.0363745852755386
7296000,-107.8601702165667575,-105.0479477298998745,-116.8560805314108677
7360000,-71.1570771898862091,-119.1631605513873637,-72.9982261082736699
7424000,-128.8120745339064399,-86.1729075809976024,-54.1764393826839310
7488000,-119.7870193967596606,-39.8025983138693888,-56.8469927767406205
7552000,-29.1602246332527244,-58.9728731960335963,-57.6407220784298318
7616000,-35.7686413702274137,-96.1111301034625853,-98.9959994597087700
7680000,-33.8089884292762690,-36.7988723460132405,-100.1628003142827765
7744000,-81.0844201363972559,-36.1865966335800948,-69.1697144694172721
7808000,-28.7070965235758102,-26.1840700538927180,-81.9268474737743730
7872000,-21.2513058068838170,-22.8908513685326866,-17.9515941591276409
7936000,-29.0477142644870270,-91.9702136138017465,-24.2893307622909305
8000000,-65.0510059861382501,-53.5967637168009574,-46.0368370881494968
8064000,-33.9272592190976567,-37.0871691903289076,-30.2064945288383058
8128000,-43.9437511836753387,-61.4331899335703184,-41.5731314328776165
8192000,-52.4556647370751961,-52.3313552950205363,-53.3706887069745193
8256000,-58.5650734792534138,-65.4768722136396946,-15.2713926394388757
8320000,0.5787863151931809,-15.6190724632467379,-14.9196519845888922
8384000,-49.1367971420898897,-48.4166093481794633,-15.1705077974779705
8448000,-10.3581597527443243,-13.2800555964407536,-7.3228096037787616
8512000,-19.9385602708659206,-19.9456938741693968,-14.4725253518386872
8576000,-43.4587592210635592,0.4573513160866085,-43.6620687572490880
8640000,9.7954119636885224,8.6020442038944154,-50.7757178071920521
8704000,-37.2020374018917295,7.1582549568123603,-32.9170594099769716
8768000,8.6939510914298594,14.0629638677383646,-35.9190310555065579
8832000,23.8031616311710152,-41.5760004494619579,-39.7015419893097885
8896000,18.4079498005869482,18.6997704808308605,-37.8386820887911455
8960000,-3.7528892158774099,-1.6138491205177239,-24.9416196203856941
9024000,6.5321523514581621,-19.2586064467381917,-21.1998556607561142
9088000,-26.2687535295704286,37.5006713608370035,37.1745120567915137
9152000,-25.0924021585249442,-23.2396153926028575,-25.7804346795674277
9216000,15.8067457227064097,13.3853270537923965,-15.0744541240929806
9280000,-34.2031145432275281,40.4018180020630737,30.3381654735445032
9344000,-18.6100701236392148,-19.0323003491973317,30.8671111473890711
9408000,-10.8870563439510661,-17.2368398312919382,-18.5825886888178857
9472000,-15.2556396914498471,23.1220782483058152,-13.4418470175446814
9536000,35.3309233415427997,-0.7102389498177715,-19.5029408562128985
9600000,19.0928491818137296,22.0610492405819940,-0.0857565161838192
9664000,50.1244887931114960,-21.9155787505307202,-3.8546753357924537
9728000,44.2135687631747061,-14.0013693949894567,-15.6267032542930373
9792000,-6.8250042872815158,42.7820128606463612,-15.5160128385581046
9856000,44.3258447465336900,39.8172125534175905,38.7653915775958779
9920000,2.6218786504692542,2.2028483309166358,27.1335420409971846
9984000,54.0827856174865644,-16.2427676217828107,-11.3225202645545409
10048000,9.0624657982183745,19.2376289132350990,30.4372875267105805
10112000,-9.3323327289423510,-11.0161304319722220,-4.7846754513385648
10176000,42.0650309834295655,41.5470405029038758,-5.5433343797893180
10240000,49.5848419678674688,50.7846338212120969,-15.2088865414307364
10304000,42.6441923612715357,54.4324202338235210,37.3008051488230095
10368000,32.7665593040667176,-11.3290043067500221,38.5913729597694157
10432000,41.9724591958624842,43.6286960932715999,45.7361619303437124
10496000,-10.2431301312932916,-15.1107814722471474,41.9997450813096691
10560000,32.3849085515730195,28.4819793232384910,31.1067617828697394
10624000,24.5160995662959458,21.8240388570880626,1.7593363597702911
10688000,-15.2435151172953738,-12.2993543900221418,-12.5749436401432177
10752000,36.2884275280412538,42.5281085337490694,37.0587991409629893
10816000,-3.4373625828165988,42.0399668089483569,33.5381479529941373
10880000,-6.0871573579097742,26.9822373653322458,-4.9289342328783015
10944000,-7.5213139298850180,26.2843227515322937,-9.3550606058732271
11008000,38.8033061822541967,31.1239995175104802,-14.3866642205351525
11072000,29.3256002566162373,41.7971444216135239,-10.5112243545083146
11136000,32.7601116371028880,3.2198844339860244,-3.0421367041331386
11200000,29.6534638125361099,28.0710983775910101,1.8812039982890827
11264000,30.9546421402293213,45.4114845385383745,-6.9511481993747175
11328000,-9.1765026659071012,-1.5751645898016360,-9.5697343920317621
11392000,41.9189294622597757,59.2350279880790680,60.2097166175207406
11456000,1.1388067793254706,31.1819066204008948,26.9003803788161377
