Step,harvest_original_cbam_inequity_aversion - SW_ep_rew_total,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MIN,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MAX
64000,-19396.7462047741391871,-19400.6918381833456806,-19396.7423183116952714
128000,-15713.5405065642644331,-15677.8211890686834522,-15710.9143769075799355
192000,-13827.3992539620394382,-13862.7371239345575304,-13862.1915239169520646
256000,-13319.0554923020899878,-13275.3510720581689384,-13275.6524251769133116
320000,-13895.8552981962402555,-13853.5691881301099784,-13894.6882965148215590
384000,-13958.2694173296604276,-13998.5211116913869773,-14005.4591022662953037
448000,-15108.5733819685119670,-15109.5302258036881540,-15074.9476242314649426
512000,-14038.9978204637009185,-14003.1808180700372759,-14041.7798213857568044
576000,-13322.0790916108962847,-13321.4339508969314920,-13322.4497606380118668
640000,-12999.8809621529344440,-13042.8529705607943470,-13042.3647812011768110
704000,-12017.1665730896220339,-11970.8917749901720526,-12014.1025518699643726
768000,-11989.3636617559623119,-11988.1924607039036346,-11950.8097145160700165
832000,-11669.8751120074957726,-11627.9150590861372621,-11626.3377075933476590
896000,-10920.7852622580121533,-10888.7312273578736495,-10921.0868149216858001
960000,-9726.5294108319139923,-9729.5544250418352021,-9728.9564899479373707
1024000,-8583.6070718382216000,-8584.9534462024657842,-8629.6449334420740342
1088000,-8289.9960225626255124,-8291.2367114522003249,-8333.7285601083895017
1152000,-8251.3998952141264454,-8296.4946119620963145,-8298.9615044190741173
1216000,-8529.6050206184208946,-8531.2483585903974017,-8575.8538440802822151
1280000,-8196.8147313880945148,-8192.6346081006922759,-8146.6307097093176708
1344000,-8501.0998220442234015,-8498.4820553171266511,-8501.3651105625704076
1408000,-9202.5967466411075293,-9249.3805299289469986,-9251.2309323084682546
1472000,-9054.8453371104551479,-9052.0294684718519420,-9096.1684422238449770
1536000,-8897.9149634472596517,-8897.2413715108941688,-8897.9131687048229651
1600000,-9316.3481141132851917,-9275.0100685078377865,-9274.8989125500029331
1664000,-8924.1493402765372593,-8886.3038274085338344,-8927.2986688448763744
1728000,-9072.8493947003626090,-9111.4147798567901191,-9073.9167526205637841
1792000,-9037.3280335806703079,-9036.0514218177177099,-8995.2834148284127878
1856000,-9380.3093579797659913,-9380.9490125270676799,-9420.9092927501969825
1920000,-8722.2464752060222963,-8683.3314339578791987,-8723.0126697612777207
1984000,-8203.5810264988376730,-8244.1122448134665319,-8205.8359714518519468
2048000,-8218.3133606150131527,-8218.9160776453300059,-8261.4152066216101957
2112000,-7877.7884751966375916,-7837.8089787964891002,-7839.8788384868375942
2176000,-7702.6241053787407509,-7664.0709114088394927,-7666.5944624990124794
2240000,-6989.4552231038896934,-6990.5815734836878619,-7034.6017865522126158
2304000,-6676.9996526902805272,-6722.3052756677689104,-6718.9643866488377171
2368000,-6806.5266145184496054,-6808.3659989820707779,-6810.3821096941883297
2432000,-7044.7550850475445259,-7047.2758471984898279,-7091.8437734531053138
2496000,-7484.2045327431433179,-7483.1082738544455424,-7476.7627538105170970
2560000,-7093.6979472701668783,-7060.0319001897496491,-7093.5071274395859291
2624000,-7219.8136530085848790,-7173.3532024727528551,-7214.4647983600334555
2688000,-6447.4264782764330448,-6482.8649847158540069,-6444.5421201808867409
2752000,-5792.9997095279486530,-5799.8256953184327358,-5839.9086901968548773
2816000,-5382.2383805624313027,-5382.2588083483460650,-5382.0683926032279487
2880000,-5146.8025465542295933,-5146.3096388277335791,-5104.6018268612115207
2944000,-5182.8498704026224004,-5138.7363702992306571,-5135.6736724831398533
3008000,-5428.3009516081156107,-5386.8030633423404652,-5387.3638699925795663
3072000,-5378.5685391489996618,-5378.7944875133753158,-5337.2146470304978720
3136000,-5396.0879311276921726,-5350.0490758485448168,-5395.2842631532839732
3200000,-5005.7075254157380186,-4958.8191066683430108,-4960.9969487984390071
3264000,-4569.0155847316291329,-4520.0057370755785087,-4565.9552944525266867
3328000,-4524.8979010121029205,-4567.4331093005021103,-4567.6688031449566552
3392000,-4531.9258257895698989,-4531.2296690199636942,-4566.2218428338410376
3456000,-4066.5381170427376674,-4112.3073943271201642,-4114.5272358891015756
3520000,-3697.1380261809426884,-3697.2523700880828983,-3696.9548279952641678
3584000,-3549.0679663530513608,-3590.9800673487147833,-3549.0109745483941879
3648000,-3416.9250833239884741,-3376.9936407441559822,-3376.1817645743240064
3712000,-3054.4534238314986396,-3011.7696558617185474,-3053.1290540897530263
3776000,-2985.7018667362276574,-2940.7286753600455995,-2987.1027252864505499
3840000,-2712.0119079267710731,-2705.2837366817166185,-2707.6151585666248138
3904000,-2629.6722401345318758,-2597.5842456335954012,-2629.8041073329932260
3968000,-2331.8186838805354455,-2366.4099927229531204,-2332.8307241924503614
4032000,-2342.3837769809615565,-2343.5875415000500652,-2387.6978573692886130
4096000,-2280.5248606703730729,-2235.8504338785305663,-2238.4710622934544517
4160000,-2234.9962082025067502,-2235.1537235645118926,-2189.2279927447457339
