Step,harvest_original_cbam_inequity_aversion - SW_ep_rew_total,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MIN,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MAX
64000,-19353.8157091685934574,-19350.3970413965253101,-19352.1614553817526030
128000,-15673.2871814844347682,-15674.3363802290223248,-15671.3320995750964357
192000,-13864.5563824194778135,-13827.3177774123432755,-13827.4472298448999936
256000,-13320.6137704495104117,-13278.2725316130545252,-13319.9787091862690431
320000,-13850.6660923540166550,-13892.2055212627674337,-13850.7972573203605862
384000,-13961.6078430991638015,-13998.9379603033794410,-13961.7856499328372593
448000,-15111.3666271006404713,-15068.2195788954213640,-15114.5684197343834967
512000,-14044.1058615992169507,-14000.8375536019793799,-14042.9299350122637406
576000,-13365.4773984376643057,-13365.1182641622272058,-13324.1314614185830578
640000,-13043.0732745146251546,-12999.7859273762569501,-13040.4739526790745003
704000,-11979.5518697130246437,-11978.9237227261291991,-12010.8201516472709045
768000,-11950.4546930591750424,-11948.9835494798153377,-11950.6052377897485712
832000,-11624.9897491320734844,-11624.6735378574649076,-11671.5025870871577354
896000,-10883.2568449231293926,-10884.2399109386860800,-10883.2120356497453031
960000,-9684.6387320881931373,-9691.1587513177437359,-9729.5353096252965770
1024000,-8624.3659143458262406,-8631.3772749370527890,-8627.0586551928117842
1088000,-8291.5580215492973366,-8293.4407145470322575,-8294.4228575061133597
1152000,-8253.7275277343233029,-8255.5683319318141002,-8294.5279702186398936
1216000,-8572.0950350707644247,-8572.2398079269696609,-8571.9730864395896788
1280000,-8188.6083752052463751,-8194.5087143983619171,-8152.6583603507351654
1344000,-8543.9967331446787284,-8503.6976218168274499,-8543.9561887352829217
1408000,-9243.3441379535161104,-9210.5626659024892433,-9209.4335320630434580
1472000,-9052.5150261243343266,-9096.9623486012260400,-9099.8946817994310550
1536000,-8894.4264294400763902,-8896.7285050986847637,-8896.8478761625665356
1600000,-9274.7683020397780638,-9314.6435631233725871,-9315.6518239557735797
1664000,-8929.7134761541765329,-8929.7787081035330630,-8880.4083896368392743
1728000,-9072.2796113046370010,-9073.3668038891792094,-9070.8005190811545617
1792000,-8998.6880647190973832,-9033.9753962310733186,-8998.7431280394921487
1856000,-9383.8762558443340822,-9422.4311094386794139,-9421.3371141273637477
1920000,-8685.2181834630919184,-8686.9266651407015161,-8724.5879066069501278
1984000,-8242.1493160996305960,-8205.6651356134843809,-8243.7251393830501911
2048000,-8260.0243123157597438,-8258.6058127167761995,-8223.0001563101650390
2112000,-7836.5042191792736048,-7879.5112568497297616,-7837.0767096509716794
2176000,-7667.2458599867122757,-7667.3083294551588551,-7666.6518743915994492
2240000,-7035.2825222383526125,-7036.5026287644777767,-6988.4779210895121651
2304000,-6682.1982939672761859,-6679.3503580681208405,-6713.8444326931958130
2368000,-6854.7494905667963394,-6811.0223906653582162,-6807.6524298478825585
2432000,-7048.7229854518100183,-7088.8947432023414876,-7047.1290667768125786
2496000,-7481.2574476181825958,-7434.7630610782780423,-7437.9886302855466056
2560000,-7098.0032341346768590,-7099.1314500860416956,-7055.5730366935258644
2624000,-7172.4918176502351344,-7219.4929246920355581,-7172.5574632013594965
2688000,-6444.6039504449499873,-6446.4188629349182520,-6446.4926750884087596
2752000,-5842.1624734644492491,-5839.5087984269339358,-5789.8587061249709222
2816000,-5380.9046636858311103,-5380.9043929723293331,-5380.9842414274689872
2880000,-5108.0535578192375397,-5109.5698187930356653,-5109.5561684814583714
2944000,-5180.4210460234507991,-5137.9119787829495181,-5138.0450454772008015
3008000,-5389.4344385855101791,-5385.2107781384238478,-5428.8720838907966026
3072000,-5335.0332422581250285,-5378.0689055928987727,-5378.7068579925653466
3136000,-5395.1072244097813382,-5394.7898500241772126,-5354.1790429815491734
3200000,-5006.2131346053447487,-5003.3857422880519152,-5005.7305163691180496
