Step,harvest_original_cbam_inequity_aversion - SW_ep_rew_total,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MIN,harvest_original_cbam_inequity_aversion - SW_ep_rew_total__MAX
64000,-19394.5859652278923022,-19393.7375062483297370,-19355.6367015937466931
128000,-15711.5550990423307667,-15679.5238775072557473,-15679.1722041746197647
192000,-13863.6551555138048570,-13863.7859280649372522,-13864.7427704660876771
256000,-13277.7879951558625180,-13278.4055873790111946,-13274.9544160834520881
320000,-13892.3532562735035754,-13891.5538395080038754,-13849.7445992664615915
384000,-14003.5050817536321119,-14003.7139539471481839,-14003.3251456065518141
448000,-15071.2536575306676241,-15071.2486585752521933,-15071.3129577564031933
512000,-14002.0604633271977946,-13997.1986689177683729,-13997.3147127711017674
576000,-13370.9774983813003928,-13323.5399127641267114,-13319.3008118442794512
640000,-13039.3879178648439847,-13037.4202191087388201,-13038.7860644831216632
704000,-12013.1041536922857631,-12012.8446874719229527,-12013.3578248409030493
768000,-11950.3189493860245420,-11949.5745297916328127,-11949.3950444668644195
832000,-11632.6849277177407203,-11631.5474364630063064,-11664.6320710776653868
896000,-10887.1144231823673181,-10886.0342971633072011,-10884.9992078879531618
960000,-9692.7117716948614543,-9693.3633159224518749,-9690.5320599721362669
1024000,-8586.4115964392440219,-8585.7711226431056275,-8627.5608769014743302
1088000,-8335.2805772781830456,-8291.6252998032978212,-8291.8805773213698558
1152000,-8294.3346132732713158,-8256.4980581228828669,-8293.3073755095247179
1216000,-8528.9676906294553191,-8531.5182542506900063,-8575.8418711378380976
1280000,-8150.0147815084355898,-8193.1686789294853952,-8197.2354564130819199
1344000,-8502.0148942437917867,-8542.2264949171549233,-8503.3066270077142690
1408000,-9205.7711002617525082,-9248.4553337370543886,-9246.1092506760505785
1472000,-9095.4034727277667116,-9099.2443911373829906,-9056.0477501788463996
1536000,-8899.8828805134526192,-8852.4511983564552793,-8900.2557131966805173
1600000,-9316.2886287906494545,-9318.0739394264292059,-9316.6487891431588650
1664000,-8888.9579511093434121,-8888.5056012703953456,-8887.5876607512545888
1728000,-9077.0766366163952625,-9076.5789889226252853,-9110.8528523988989036
1792000,-8995.5315235086745815,-8996.1684510416616831,-9036.1400531277686241
1856000,-9422.2462379609278287,-9421.7962003148331860,-9422.8022411551773985
1920000,-8687.1684378271220339,-8687.3917249906444340,-8685.7585236346058082
1984000,-8245.3609480122813693,-8201.8687768006329861,-8249.3085010035101732
2048000,-8261.6000820725421363,-8219.4514511543384288,-8263.1104462987350416
2112000,-7878.8877983222928378,-7841.5883705379310413,-7883.2792407508068209
2176000,-7661.5734114677807156,-7707.7181918996511740,-7704.6675066396946931
2240000,-7033.4005899159756154,-7033.4952510453013019,-6992.5768017850778051
2304000,-6719.5661013937660755,-6720.8826114851954117,-6674.1042878120051682
2368000,-6813.6533928717199160,-6848.3530799162635958,-6847.8129997228361390
2432000,-7049.8220378538198929,-7049.5689204002592305,-7085.2985255701141796
2496000,-7432.2535392983136262,-7433.1125485774782646,-7476.3169701754422931
2560000,-7056.4403978764767089,-7056.6132774017496558,-7056.9720681119097208
2624000,-7210.3630508004707735,-7210.5166036950495254,-7179.1641651366498991
2688000,-6439.3199334080745757,-6487.6839447539696266,-6482.1274227311869254
2752000,-5834.2360462693513909,-5798.6055098635388276,-5798.0514649961623945
2816000,-5381.4977797868641574,-5420.7868079479976586,-5417.3067674800722671
2880000,-5145.8183917088272210,-5101.5887565732045914,-5145.7484051303727028
2944000,-5139.4356197001088731,-5139.8000429035264460,-5177.6772572076133656
3008000,-5430.4475990270893817,-5385.1978674936999596,-5384.9836794676048157
3072000,-5334.1986646807945363,-5377.7009635404983783,-5334.1507573176077130
3136000,-5395.2924344387383826,-5351.8075754132842121,-5395.5649024031199588
3200000,-4965.2447809645773305,-4965.3491395023393125,-4999.2406475601574130
3264000,-4564.3890010253908258,-4521.7561541474569822,-4560.6578343576256884
3328000,-4560.7695981131691951,-4562.1503896807807905,-4562.0909954658254719
3392000,-4566.8081818681494042,-4530.7403517117118099,-4532.0238497956315769
3456000,-4106.8732757227480761,-4106.6360632260784769,-4071.4973543899968718
3520000,-3698.8407533062027142,-3663.9336515347104068,-3660.4914828025939642
3584000,-3589.2674782934213908,-3593.2814663485200981,-3548.2531285121481233
3648000,-3415.6341148256769884,-3417.2010705554034757,-3376.1949589601076696
3712000,-3012.2454092601224147,-3012.5205419830276696,-3048.6631854944116640
3776000,-2981.3847701222543947,-2981.3861676483138581,-2981.5899413775177891
3840000,-2710.3091722020194538,-2710.8555039285129169,-2668.9454267845931099
3904000,-2595.5590112167128609,-2596.0197424245911861,-2596.8497929992454374
3968000,-2332.0910816261171021,-2333.2032396061154031,-2333.4526896297502390
4032000,-2391.8025024418188877,-2345.1148981378105418,-2388.0919990381439675
4096000,-2280.6598070553882280,-2281.4762455945797228,-2282.9520842713341153
4160000,-2187.0769131178808493,-2233.3720195607056667,-2232.9510122746492016
4224000,-2171.6225771033764431,-2171.8558787686351934,-2210.8753931258447665
4288000,-2005.0785652077772738,-1967.1308828377095779,-1968.6004307186660753
4352000,-1773.5659161030889663,-1774.5662916855801541,-1732.5440363274715310
4416000,-1600.0009916481687924,-1566.1022292211150670,-1602.6286249811855669
4480000,-1511.3266215155329064,-1468.3007124110376935,-1465.6727729123660993
4544000,-1307.2413127213199004,-1306.1618427346882072,-1347.5327302903899636
4608000,-1259.0549540235729182,-1262.5490639609668051,-1303.1880559764238114
4672000,-1207.5848733007642295,-1253.4403869125194433,-1251.7325204673006738
4736000,-1040.3927707242939960,-1084.5163333692673859,-1033.8911433395303447
4800000,-945.5631080229352392,-905.6866622729472738,-905.3597800216545011
4864000,-850.4149435678112923,-885.5584452506406024,-885.7183632724604649
4928000,-839.0381525864034984,-847.9926597665354393,-882.1874296700549394
4992000,-809.9740434158971993,-861.0356490835782779,-811.8056055170527543
