Step,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MAX
64000,-9318.1821920172078535,-9293.1123648567900091,-9316.3570794888291857
128000,-9210.6725727852353884,-9187.9459013360556128,-9210.6689452977061592
192000,-8962.0348068058137869,-8961.6609531979320309,-8962.4045452184382157
256000,-9288.3339495812870155,-9286.2602612133250659,-9286.9860834363280446
320000,-9278.4628481311756332,-9258.0480696032100241,-9278.2948922319192206
384000,-9094.2736677210396010,-9097.0285852662564139,-9125.0464323429496289
448000,-9420.4609929576581635,-9419.9971859259276243,-9445.0151906023584161
512000,-8775.8001103165279346,-8777.3208919047174277,-8774.9036559477826813
576000,-7698.8243828351824050,-7692.5119271841749651,-7717.8904631853201863
640000,-6720.2462747643930925,-6742.5029510278973248,-6741.8412677915584936
704000,-6908.2924089380521764,-6933.5895889493749564,-6930.3016229980648859
768000,-7246.3442265597095684,-7218.5576753922186981,-7220.3744890194884647
832000,-6775.1911409095591807,-6776.4702181714183098,-6775.4592309962599757
896000,-6103.9646482869211468,-6103.2987416759433472,-6080.6424804706630312
960000,-5939.5125114093880256,-5964.8620952940682400,-5965.0151885133354881
1024000,-6097.1293131175343660,-6097.1742186577212124,-6072.9041113783641777
1088000,-5788.3848167687683599,-5767.1490013592310788,-5788.3609552144507688
1152000,-5532.2755233390225840,-5532.1201212503901843,-5556.9763739278287176
1216000,-5487.9758814263959721,-5488.1580462637102755,-5468.4070855492727787
1280000,-5743.0050527206740298,-5766.6685297803487629,-5742.9267112103007094
1344000,-5833.7719137740414226,-5859.6437878960532544,-5859.6798556473659119
1408000,-5915.4652748554399295,-5916.0787473187183423,-5936.7839230559466159
1472000,-6064.0383075145537077,-6061.4742694561045937,-6036.8495238981113289
1536000,-5688.2607708664190795,-5656.5677383206912054,-5663.0508260528868050
1600000,-5425.6936009115679553,-5451.6969280880066435,-5423.9099400994164171
1664000,-5294.3770381160156830,-5267.7518355359716224,-5267.8619106329742863
1728000,-4812.8509255311309971,-4843.0122699602707144,-4814.3207397954492990
1792000,-4794.1434248693676636,-4791.6192293547737791,-4766.5667771364278451
1856000,-4787.8155033934835956,-4820.0419923423460205,-4817.1884402684790984
1920000,-4479.1942457359618857,-4479.3106991431932329,-4479.4066220467484527
