Step,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MAX
64000,-9321.7812578058492363,-9320.3973916715567611,-9288.9988225413399050
128000,-9211.2529170868165238,-9187.5088951550733327,-9187.3384773569487152
192000,-8965.4194444675085833,-8986.9431208993901237,-8963.8691229563592060
256000,-9287.3437041738307016,-9286.3099952130778547,-9288.5783882144660311
320000,-9282.1878550276924216,-9284.0405263665616076,-9253.3728183689054276
384000,-9128.6768401081444608,-9093.9890403376557515,-9128.7004333243476140
448000,-9418.6159038587193209,-9418.4076676355471136,-9419.3501563753598020
512000,-8803.3832763565751520,-8775.7765302248099033,-8772.9041635851153842
576000,-7693.7509575339954608,-7693.6046585747490099,-7694.7486684900168257
640000,-6747.3684182324923313,-6749.0987880443572067,-6744.4348645701911664
704000,-6904.0073080855263470,-6933.6799371707465980,-6934.8392340555265037
768000,-7247.8946464637847384,-7249.5554218384395426,-7218.0854473615509050
832000,-6797.7773364754493741,-6777.7126036791687511,-6796.2217488142732691
896000,-6106.0987870254502923,-6104.6131227049272638,-6107.9949977938804295
960000,-5971.0538181457477549,-5937.5157887783170736,-5935.1067940245366117
1024000,-6095.1228789094493550,-6098.4119189622742851,-6070.7428223579781843
1088000,-5789.5758195391217669,-5766.5940599556943198,-5760.7398262203496415
1152000,-5556.3274946571800683,-5556.1367149482193781,-5556.2129781808534972
1216000,-5488.0008546803710487,-5466.4608940353100479,-5488.6961145770019357
1280000,-5743.3507159120399592,-5768.5945936380376224,-5769.4704693680423588
1344000,-5831.6051418429324258,-5834.9979193148556078,-5834.8208780733102685
1408000,-5941.4460014927999509,-5913.2693267567874500,-5912.6342087609364171
1472000,-6038.2744680772393622,-6063.6955151440688496,-6067.9074019002982823
1536000,-5660.5855162131465477,-5685.2454847441022139,-5682.6448386285319430
1600000,-5456.0316201180876305,-5454.6773240725997312,-5454.0577783569660824
1664000,-5267.5703265839738378,-5289.5475854446594894,-5293.7231247088038799
1728000,-4811.9994294358093612,-4837.7329648569148048,-4817.2664289186232054
1792000,-4764.8116303459582923,-4763.5217558113017731,-4791.6328977603316162
1856000,-4813.6744845274579347,-4794.3468550297429829,-4792.0728209170920309
1920000,-4454.9465217353263142,-4488.0389469462425041,-4488.1212828821198855
1984000,-4015.2510115591639988,-4015.7087971411278886,-3993.1058988524109736
2048000,-3473.0033940443195206,-3498.3221390041144332,-3471.8101803035328885
2112000,-3261.6540939384663034,-3283.1185207843491298,-3257.8236732468571972
2176000,-3239.0286648568207966,-3240.3737764563256860,-3216.7241816014343385
2240000,-3086.1056749885938189,-3085.1802677976243103,-3085.8893271633037330
2304000,-2889.7509060589104593,-2867.5254250287243849,-2866.6263846913439011
2368000,-2601.6615549270518386,-2605.2081383642230321,-2604.1845352329628440
2432000,-2580.6260919171031674,-2581.2322079589171153,-2580.5522505187200295
2496000,-2589.0470614340115389,-2562.2945201168968197,-2563.8936498440989453
2560000,-2630.4956560515129240,-2606.6027437658653980,-2626.4224702936585345
2624000,-2556.1119312310288478,-2538.5682079850494119,-2556.2143970065385474
2688000,-2231.8713575953138388,-2257.7354953818162357,-2234.4708208024103442
2752000,-2130.3190756044150476,-2131.2160419413353338,-2160.7576408245795392
2816000,-2243.8260764837068564,-2243.8246646446341401,-2223.0881180158517054
2880000,-2163.6539633663442146,-2163.6552562096758265,-2163.6443577510372052
2944000,-2119.2267905254866491,-2089.8334953305925410,-2121.4993181000322693
3008000,-2077.2023866015624662,-2077.2550829267538575,-2077.2606514127096489
3072000,-2116.5058537161544336,-2111.4977557400511614,-2111.2219629291475940
3136000,-2100.6690869214021404,-2073.4408345966917295,-2102.5712684330028424
3200000,-2056.3562411448829153,-2081.7499185611163739,-2059.8085260358625419
3264000,-2047.9831878168863568,-2048.8311652891220547,-2021.3092990540058054
3328000,-1920.0533802026147896,-1921.8611739455882343,-1922.1157033972119734
3392000,-1754.5807666712546506,-1776.4972754331708984,-1756.2009419647783943
3456000,-1762.4957086082961268,-1733.0425709872354219,-1765.6864856927486471
3520000,-1598.7528710279273128,-1598.8891308567626766,-1598.5620500760721825
3584000,-1510.6029282942783993,-1510.6193375086818378,-1490.0174546661667137
3648000,-1476.3054827306250445,-1453.5552456692012129,-1476.8676441490281377
3712000,-1360.2151168457487529,-1383.0279119611709575,-1360.2021179684625167
3776000,-1247.7161215435153281,-1249.5452151450783731,-1271.9957345314203394
3840000,-1187.3433136345538514,-1187.3104811001671806,-1165.1390432833588875
3904000,-1238.0682600423469921,-1237.9185990400812898,-1209.9676863231029529
