Step,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MIN,cleanup_0.3_0.0_0.85_0.015_cbam_svo - SW_ep_rew_total__MAX
64000,-9321.4598920669359359,-9293.2354245999413251,-9318.2475513643839804
128000,-9189.4767166068268125,-9209.3133760627752054,-9208.9400285423998866
192000,-8962.7339808900269418,-8990.3139569605518773,-8989.7080009535930003
256000,-9286.6421052007044636,-9260.1749937282456813,-9260.1394525570085534
320000,-9254.7874792711172631,-9281.6095033610326936,-9281.3990021369372698
384000,-9098.6433632148164179,-9093.7803885826851911,-9121.1565996462704788
448000,-9418.1276488836374483,-9418.1763212038731581,-9446.3396662114919309
512000,-8802.8155567174580938,-8804.2791805769666098,-8801.3761013794519386
576000,-7692.4341809161551282,-7725.4899274715216961,-7721.3985301070033529
640000,-6744.4714833716188878,-6741.5271105227275257,-6742.1468386521055436
704000,-6932.6725584452979092,-6906.8848879510142069,-6933.0834255993249826
768000,-7224.0619504418182260,-7221.7440277820769552,-7244.7796519833545972
832000,-6802.4275372194460942,-6773.0954520550194502,-6801.3387909834418679
896000,-6102.7911409248845302,-6102.4197000705917162,-6079.9309951998129691
960000,-5968.6209933733734943,-5938.6551816718747432,-5935.3423462965920407
1024000,-6075.6535545055148759,-6093.7211696971216952,-6094.3265332700220824
1088000,-5789.7888812195942592,-5792.9439033630578706,-5763.1881751589653504
1152000,-5527.3579419444104133,-5557.7860043707360092,-5560.3115114934034864
1216000,-5489.0239753634004956,-5489.8855404911191727,-5490.8430413460237105
1280000,-5765.7621804631344276,-5741.5697530572424512,-5743.6383587126392740
1344000,-5856.6398535984762930,-5837.1093708004391374,-5856.8317266504782310
1408000,-5936.8608414024683952,-5938.6961673723963031,-5915.3884943187940735
1472000,-6040.4724964917222678,-6040.7490338368543235,-6039.9454102522950052
1536000,-5684.1517269910254981,-5683.1788583240213484,-5663.2750730111147277
1600000,-5454.0748401247792572,-5455.2368372716346130,-5450.5261084792391557
1664000,-5294.5325661861024855,-5297.2379163988380242,-5264.4515406283553602
1728000,-4838.8925482224058214,-4815.1101022094971995,-4818.2616054254312985
1792000,-4791.4573441672127956,-4767.5063029059747350,-4790.5048435850339956
1856000,-4790.6774276539845232,-4792.2773679205838562,-4791.6482534455171844
1920000,-4487.7698519740242773,-4484.9574412839074284,-4487.2991117872088580
1984000,-4014.5372830751853144,-3990.9713142433161011,-3994.6539365641588120
2048000,-3496.9595437189295808,-3467.3992126594594083,-3502.4969688838459660
2112000,-3258.2946681239259306,-3287.1161130144182607,-3259.7981741493749723
2176000,-3241.2248626363816584,-3244.8670488216635022,-3244.8279377991702859
2240000,-3062.0634574710393281,-3062.0612029274861925,-3062.0394593343171437
2304000,-2890.2010482415962542,-2864.9781973977687812,-2864.9619264582356664
2368000,-2624.8382090856389368,-2625.4306960887588502,-2625.3523144685859734
2432000,-2581.5991008347364186,-2559.7892060436979591,-2581.8705823528989640
2496000,-2587.3214437145675220,-2564.9340357946953191,-2565.1023890238043350
2560000,-2628.0522231383870349,-2627.6446881194788148,-2628.1356043671185034
2624000,-2559.7421809616716928,-2560.0620255560702390,-2559.8643655178548215
2688000,-2255.1580564686455546,-2254.4185626359380876,-2255.4197815876609639
2752000,-2159.3604139294939159,-2136.0164804900109630,-2135.1213373296964164
2816000,-2220.0576987687122710,-2244.8856606937997640,-2247.2571473259158665
